--> BRONIE DOSTĘPNE TYLKO DLA NAJEMNIKA I ŁOWCY SMOKÓW <--,,,,,,,,--> BRONIE DOSTĘPNE TYLKO DLA MROCZNEGO RYCERZA <--,,,,
--> BRONIE DOSTĘPNE TYLKO DLA STRAŻNIKA ŚWIĄTYNNEGO <--,,,,,,,,--> BRONIE DOSTĘPNE TYLKO DLA STRAŻNIKA MIEJSKIEGO I PALADYNA <--,,,,
Nazwa,,Siła,Obrażenia,Zasięg,Waga,Inne statystyki,,,,,Przebicie,Warunki zdobycia
BROŃ JEDNORĘCZNA,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
MIECZE - OBRAŻENIA SIECZNE,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Wilczy pazur,,10,20,70,2,---,,,,,---,"Dostajemy go od Cavalorna przy zadaniu ""Bandyci Cavalorna"""
Wilczy kieł,,10,35,70,2,---,,,,,---,"Leży pod mostem niedaleko karczmy
Martwa Harpia"
Miecz Alrika,,30,30,70,4,Bonus do władania 10%,,,,,---,"Dostajemy go od Jory w zadaniu
""Miecz Alrika"""
Dobry krótki miecz,,20,40,50,3,---,,,,,---,"W wieży w dzielnicy rzemieślników, za stgrażnikiem, obok zejścia do portu"
Miecz (wykuty),,50,55,90,3,Bonus do władania 2%,,,,,---,Uczymy się automatycznie przy nauce kowalstwa
Szeroki miecz,,45,65,70,5,---,,,,,---,?
Dobry miecz,,60,75,70,3,Bonus do władania 2%,,,,,---,"Schematu uczy Harad, jedynie jego czeladników"
Długi miecz,,50,75,90,3,Bonus do władania 2%,,,,,---,Sprzedają kupcy / noszą bandyci
Dobry długi miecz,,65,95,95,3,Bonus do władania 2%,,,,,25%,"Schematu uczy Harad, jedynie jego czeladników"
Topór obosieczny,,80,110,70,5,"TOPÓR, nie miecz",,,,,---,"Sprzedaje Khaled (tylko najemnikom)
Wypada z Coldera na arenie"
Srebrny Miecz,,100,120,100,3,Efektywny przeciwko duchom,,,,,---,Za widmem w kopalni prowadzącej z Khorinis do Górniczej Doliny.
Miecz rycerza,,90,120,100,5,---,,,,,---,Wypada z większości nieimiennych rycerzy w Khorinis
Rubinowe ostrze,,90,125,90,3,Bonus do władania 2%,,,,,---,"Schematu uczy Harad, jedynie swoich czeladników
W skrzyni obok łóżka Wulfgara"
Zabójca Orków,,120,135,100,3,Dodatkowe obrażenia przeciw orkom: 250,,,,,---,"Dostajemy od Harada za zadanie
""Zabójca orków"""
El Bastardo,,115,140,100,3,Bonus do władania 2%,,,,,---,"Schematu uczy Harad, jedynie jego czeladników"
Krzyż Przeznaczenia,,125,145,90,6,---,,,,,25%,Leży w skrzyni na szczycie dużej piramidy na wykopaliskach
Elitarny miecz jednoręczny,,130,160,100,3,Bonus do władania 2%,,,,,---,Sprzedaje go Hakon
Miecz Blizny,,150,170,110,5,---,,,,,10%,"W skrzyni w GD, w pokoju gdzie siedzi Garond"
Grawerowany miecz jednoręczny,,160,185,100,3,Bonus do władania 2%,,,,,---,Sprzedaje go Hakon
Srebrny nordmarski miecz,,190,190,100,5,Efektywny przeciwko duchom,,,,,---,W skrzyni w ukrytym pomieszczeniu u Kreola w Górniczej Dolinie
