Informacje ogólne,,,,,,,,,,,,Lista wymaganego INT na opętanie konkretnych przeciwników.,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Czarnoksiężnikiem zostajemy w dialogu z wyborem ścieżki mroku u Xardasa.
Posiadamy te same misje i bonusy gildyjne co Nekromanta i Przywoływacz czyli
oddawanie broni i karmy u Innosa za karmę oraz oddawanie serc demonów za manę / HP.

Czarnoksiężnik potrafi manipulować przeciwnikami zmuszajać ich do usługiwania mu lub do atakowania się nawzajem. Oprócz tego mamy do dyspozycji całą ścieżkę klątw, które zadają konsekwentne obrażenia w czasie.",,,,,,,,,,,,Zachęcam do tworzenia komentarza z poprawką jeżeli podane niżej wartości są błędne,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,ŻYWI PRZECIWNICY,,,,WYMAGANY INT
,,,,,,,,,,,,Pełzacz wojownik,,,,108
,,,,,,,,,,,,Warg,,,,117
Specjalne umiejętności Czarnoksiężnika,,,,,,,,,,,,Brzytwiak,,,,135
,,,,,,,,,,,,Samica warga / Lider wargów,,,,180 / 198
Nazwa umiejętności,,,,,,,Wymagania,,,,,Puma / Ogar,,,,180 / 135
Czarna Magia (Specjalne dialogi):,,,,,,,2 PN 500 złota,,,,,Pustynny pełzacz wojownik,,,,180
"Odporność na klątwy (Te które nakładają szkielety, obniżające dmg o 50%)",,,,,,,5 PN 3000 złota,,,,,Czarny ork kusznik / wojownik,,,,180
Kontrola umysłu,,,,,,,,,,,,Ognisty jaszczur,,,,225
,,,,,,,,,,,,Smoczy zębacz,,,,252
"Czar pozwala przejąć do 2 przeciwników którzy będą dla nas walczyć jakby byli naszymi przyzwańcami.
Dostajemy z nimi normalnie 100% doświadczenia, a także możemy ich w każdej chwili odwołać tak jak normalnych przyzwańców, z tą różnicą, że Ci przejęci ponownie staną się wobec nas agresywni.
W tabeli obok po prawej znajduje się lista inta potrzebnego do przejęcia bardziej kluczowych mobów",,,,,,,,,,,,Elitarny czarny ork,,,,270
,,,,,,,,,,,,Kamienny / Bagienny golem,,,,270
,,,,,,,,,,,,Cieniostwór / Aligator,,,,270
,,,,,,,,,,,,Lodowy / Ognisty golem,,,,315
,,,,,,,,,,,,Kolcogrzbiet,,,,315
"Prezentacja run, skalowanie 1int = 0.75dmg
Screeny zrobione z int = 100 | Moc Magiczna = 1%",,,,,,,,,,,,Ork szaman,,,,360
,,,,,,,,,,,,Wskrzeszony Jaszczuroczłek (zach. wybrzeże),,,,360
,,,,,,,,,,,,Troll,,,,405
,,,,,,,,,,,,Herszt orków,,,,450
FILMIK PREZENTUJĄCY CZARY,,,,,,,,,,,,Starożytny kolcogrzbiet,,,,540
,,,,,,,,,,,,Jaszczuroczłek,,,,575
,,,,,,,,,,,,Smoczy jaszczuroczłek,,,,675
,,,,,,,,,,,,NIEUMARLI PRZECIWNICY,,,,WYMAGANY INT
,,,,,,,,,,,,Szkielet wojownik (1k HP),,,,170
,,,,,,,,,,,,Starożytny wojownik (pustynia) (2k HP),,,,255
,,,,,,,,,,,,Szkielet włócznik (1k HP),,,,306
,,,,,,,,,,,,Szkielet wojownik (2-3k HP),,,,340
,,,,,,,,,,,,Nieumarły Mag,,,,400
,,,,,,,,,,,,Strażnik budowniczych (do 3k hp),,,,595
,,,,,,,,,,,,Przeklęty nieumarły mag,,,,640
,,,,,,,,,,,,Strażnik budowniczych (do 5k hp),,,,680
,,,,,,,,,,,,Demoniczne szkielety,,,,560-800
,,,,,,,,,,,,Nieumarły demoniczny ork,,,,800
,,,,,,,,,,,,Demoniczny szkielet strażnik,,,,850
,,,,,,,,,,,,Szkielety z miasta umarłych,,,,1275
,,,,,,,,,,,,"Spis dialogów z Czarnej Magii
(Niektóre dialogi dają hp/karme/mane)",,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"-Zmuszenie Goraxa do sprzedania wina za 50 złota
-Przekonanie Parlana, aby wpuścił nas do klasztoru
-Zmuszenie towarzysza Millsa do zabicia go
-Zabicie Ragnara w zamian za karmę
-Zmuszenie Blizny do zabicia Lehmara
-Zabranie Cantharowi połowy życia przed walką dla zabójców
-Zabranie Rigelionowi połowy życia przed walką
-Zmuszenie Halvora do skupowania od nas kosztowności
-Zmuszenie Ramireza do oddania klucza do skarbu
-Zmuszenie ochroniarza Góry do zabicia Dextera
-Zmuszenie Francisa do oddania nam klucza do chaty
-Zabranie Franko połowy życia przed walką
-Zabranie Bloodwynowi połowy życia przed walką
-Zabranie Estabanowi połowy życia przed walką
-Zabicie Senyana, kiedy nie zgodzimy się na jego umowe
-Zmuszenie Melchiora do wyjawienia nam prawdy o Amulecie Triagar

-Zyskanie 1HP i zabranie połowy życia każdemu poszukiwaczowi z którym porozmawiasz przed walką
",,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
