"Ważna informacja! Pamiętaj, że Ognik może pokazywać lokalizacje tabliczek i roślin, 
 jeśli zakupimy specjalną umiejętność w dialogu z nim (10 000 sztuk złota).
Umiejętność dostępna jest również za darmo po pokonaniu bossa Ahirona w Khorinis

Demoniczne tabliczki używamy tak samo jak zwykłe po nauce języka demonów u Kreola w 2 rozdziale.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
KHORINIS | FARMA OSWALDA | WYBRZEŻE | LAS ASASYNÓW,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Energii
(+5 hp lub +3 mana)",,,,"Mistrzostwa
(+1% władania)",,,,"Zniszczenia 
(+1% mocy magicznej)",,,,"Mocy
(+1 siła lub zręczność)",,,,Wiedzy (+2 int),,,,"Ochrony
(+5 fizyczne lub +1 upadek)"
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Na stole w wieży Xardasa,,,,Obok królowej pełzaczy w jaskini z bossem golemow,,,,"Las Asasynów, obok Nrozasa",,,,Za kamieniem teleportacyjnym do slonecznego kregu,,,,Obok rannego orka niedaleko Nicklasa,,,,Las Asasynów w skarbcu za ukrytym przejsciem
,,,,,,,,,,,,,,,,,,,,
W jaskini na nowych terenach pomiedzy wieżą Xardasa i Khorinis,,,,W jaskini przy zbieraczach ziela niedaleko czarnego trolla,,,,,,,,Farma Oswalda przy zwłokach w dziurze blisko młyna na farmie,,,,,,,,Las Asasynów obok Cor Kaloma
,,,,,,,,,,,,,,,,,,,,
Na wykopaliskach obok miejsca gdzie zatrzymuje się Lares,,,,"Farma Oswalda na arenie, blisko kamienia teleportacyjnego",,,,,,,,Zach. Wybrzeże przy nawiedzonej wiezy obok Druida,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Na skrzyni na szczycie wieży Dextera,,,,Zach. Wybrzeże obok czarnego trolla,,,,,,,,Las Asasynów w pomieszczeniu przeklętego przeora,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Przy kregu w mrocznym lesie,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Farma Oswalda: w wieży maga,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Zach. Wybrzeże: w przejściu na równiny niedaleko bossa strażnika,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
JARKENDAR | PUSTYNIA ADANOSA,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Energii
(+5 hp lub +3 mana)",,,,"Mistrzostwa
(+1% władania)",,,,"Zniszczenia 
(+1% mocy magicznej)",,,,"Mocy
(+1 siła lub zręczność)",,,,Wiedzy (+2 int),,,,"Ochrony
(+5 fizyczne lub +1 upadek)"
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
W ruinach z brzytwiakami w zapomnianym kanionie,,,,W jaskini bossa kolcogrzbieta na plaży obok piratów,,,,W jaskini w kanionie ze skarbem Francisa,,,,Nad królową pełzaczy w zapomnianym kanionie,,,,W świątyni na bagnie,,,,Pustynia Adanosa w dużej piramidzie
,,,,,,,,,,,,,,,,,,,,
Grobowiec Quahodrona,,,,,,,,Pustynia Adanosa w wieży imaraha,,,,Pustynia Adanosa obok środkowego ołtarza gdzie łączymy fragmenty,,,,Na ołtarzu w świątyni ze szczurami obok Eremity,,,,
,,,,,,,,,,,,,,,,,,,,
W świątyni z goblinami,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Przy schodach do teleportu do Ashtara,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Pustynia Adanosa przy wejściu do piramidy na placu świątynnym,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
GÓRNICZA DOLINA I JEJ POMNIEJSZE LOKACJE,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"Energii
(+5 hp lub +3 mana)",,,,"Mistrzostwa
(+1% władania)",,,,"Zniszczenia 
(+1% mocy magicznej)",,,,"Mocy
(+1 siła lub zręczność)",,,,Wiedzy (+2 int),,,,"Ochrony
(+5 fizyczne lub +1 upadek)"
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Obok kapliczki Beliara w starej wieży Xardasa,,,,"Przy wejściu do starej kopalni
(kopalnia Gomeza)",,,,Cmentarzysko orków,,,,W krypcie z amuletem Angara,,,,2x Na dolnym poziomie kopalni orków,,,,Cmentarzysko orków po teleportacji od szamana
,,,,,,,,,,,,,,,,,,,,
