KHORINIS | FARMA OSWALDA | FORT AZGAN | LAS ASASYNÓW | ETLU,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Eliksir Siły,,,Esencja Ducha,,,Eliksir Zręczności,,,,Eliksir Życia,,,,Eliksir Wytrzymałości
,,,,,,,,,,,,,,
W ładowni Esmeraldy,,,W skrzyni Baala Oruna w Bractwie,,,Na ołtarzu w jaskini obok gniazda polnych bestii,,,,W jaskini z zębaczami po drodze do wieży Ahirona,,,,W zamkniętej skrzyni Vatrasa
,,,,,,,,,,,,,,
Za nagrobkiem w jaskini z widmem obok karczmy Orlana,,,"W skrzyni w ukrytej jaskini
obok Marduka i Sergio",,,Obok drzewa przy trollach Groma obok wieży Nergala,,,,W stercie kości obok ogra przy grobowcu Ginnoka,,,,Do kupienia u Constantino *
,,,,,,,,,,,,,,
W lewej odnodze jaskini z Próby Ognia,,,U Xardasa za odprawienie rytuału na wieży,,,Od Cassi za przyniesienie jej prawdziwej i fałszywej figurki.,,,,Na skrzyniach obok bandyty Faarharta,,,,Przy zębaczach obok rannego orka *
,,,,,,,,,,,,,,
W namiocie bandytów Elvricha,,,W skrzyni w kopalni za obozem Dextera,,,Sprzedaje Lehmar przy zadaniu z relikwią Parlana,,,,Na beczce w jaskini na końcu kamiennej plaży,,,,Sprzedaje Zuris (2 rozdział) (3 rozdział)
,,,,,,,,,,,,,,
"W skrzyni z zadania
""Tajemnica Kapitana Straży""",,,W skrzyni bandyty Hannibala,,,W skrzyni Rączki w kanałach,,,,W skrzyni w wieży Ahirona (Trzeba go najpierw zabić),,,,"Od Snipesa za zadanie ""Torba pełna rudy"""
,,,,,,,,,,,,,,
"Za pokonanie jaszczurów Hanisa
(tylko członek bractwa śniącego)",,,W skrzyni w dużej piramidzie na wykopaliskach,,,Od Falka za zabicie Czarnego Trolla,,,,Od Nixa za uleczenie Kła,,,,Za zamkniętymi drzwiami obok Angela w pobliżu statku paladynów
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"Sprzedaje Holger po wykonaniu ""Syn marnotrawny"""
,,,,,,,,,,,,,,
"Sprzedaje Erol
(po ukończeniu wątku kupców)",,,Sprzedaje Lehmar przy zadaniu z relikwią Parlana,,,Na nowych terenach obok wieży z necronomiconem,,,,Od Raffa za przyniesienie mu jaja topielca,,,,"Za dostarczenie Ragnarowi Trollestu
 (2 Rozdział)"
,,,,,,,,,,,,,,
W ukrytym pokoju w podziemiach klasztoru (5 rozdział),,,Sprzedaje alchemik w posiadłości Łowców Demonów (tylko ŁD),,,Sprzedaje Zuris (3 rozdział) (4 rozdział),,,,Sprzedaje alchemik w posiadłości Łowców Demonów (tylko ŁD),,,,"Za zadanie ""Bagienne ziele dla Balama"" (3 rozdział)"
,,,,,,,,,,,,,,
"Za zadanie młot Terakota
(tylko nowicjusz bractwa)",,,"Sprzedaje Sagitta (1,2,3,4 rozdział)",,,Sprzedaje Matteo (po ukończeniu wątku kupców),,,,W skrzyni przy teleporcie na wykopaliskach magów wody,,,,Daje nam Marduk jeśli nie przyznamy się do pokonania Kruka
,,,,,,,,,,,,,,
W skrzyni w grobowcu Ginnoka (5r),,,Daje Constantino za odzyskanie jego klucza (+4 many),,,Od Cassi za przynoszenie skarbów smoków (4 rozdział),,,,"Zrezygnowanie ze śledztwa w zadaniu ""Zagubiony bandyta""",,,,Na półce w głównym budynku na Etlu
,,,,,,,,,,,,,,
Leży w ostatnim pomieszczeniu Lasu Asasynów,,,"W jednej ze skrzyń w sypialni Pyrokara
(na lewo)",,,W skrzyni w jednym z domów w Forcie Azgan na lewo od wejścia,,,,"Za oddanie Ulfowi jego pierścienia 
(2 rozdział)",,,,Nad wieżą Xardasa obok 2 goblinów 
,,,,,,,,,,,,,,
Za zostanie Guru w obozie bractwa,,,"Sprzedaje Salandril
(po ukończeniu wątku kupców)",,,W magazynie w Lesie Asasynów,,,,W magazynie Fortu Azgan,,,,"Przy topielcach podczas wykonywania zadania ""Czarny humor"""
,,,,,,,,,,,,,,
"2x Sprzedaje Mroczny Mentor
(1 i 2 rozdział) (Mroczny Rycerz)",,,W ukrytym pokoju w podziemiach klasztoru (5 rozdział),,,Za złoty sztylet dla Cassii ze Skarbów Smoków,,,,W skrzyni w tajnym pokoju w Lesie Asasynów,,,,W ukrytym pokoju w podziemiach klasztoru (5 rozdział)
,,,,,,,,,,,,,,
Na szczycie zniszczonej wieży za farmą Onara,,,W opuszczonej posiadłości za farmą Onara,,,Sprzedaje Igaraz po tym jak zostanie magiem ognia (Tylko Mag Ognia),,,,W skrzyni w grobowcu Ginnoka,,,,
,,,,,,,,,,,,,,
Wyciągi ze szczawiu królewskiego,,,,,,,,Mikstury niewidzialności,,,,,,
,,,,,,,,,,,,,,
"Od Lothara po zakończeniu zadania
""Horror na cmentarzu""",,,,"Wybór HP lub mana od Xardasa
za przyniesienie necronomiconu",,,,"Od Galahada za zadanie ""Wykwintne jedzenie"" (45 sek)
(na NM+ ochrona przed ciosem zamiast niewidzialności)",,,,,"Od Falka za twardy kolec grzbietowy z
Ishi'Kurata z pustyni Adanosa (3 min)",
,,,,,,,,,,,,,,
"Daje Gor na Kosh za przyniesienie mu Młota Tarakota
(tylko członek bractwa śniącego)",,,,"Od Zurisa po przyznaniu mu sie do
współpracy z Gildią Kupców (2 rozdział)",,,,"W zamkniętej skrzyni Baala Oruna
z zielem dla Lestera (45 sek)",,,,,"Do kupienia u Galahada po wykonaniu
zadania z Lariusem (3 min)",
,,,,,,,,,,,,,,
Od Falka za zabicie 3 rzadkich stworów (2 rozdział),,,,"Od Karrasa po zadaniu
""Tajemnicze Morderstwo"" (2 rozdział)",,,,"Od Xardasa za wykonanie zadania
z pierścieniem Grega (2 rozdział)",,,,,W skrzyni u Dextera (3 min),
,,,,,,,,,,,,,,
"Za zadanie ""Stary Przyjaciel Lee"" (2 rozdział)",,,,Od Lutero za ukończenie wątku gildii kupców (3 rozdział),,,,Wypada z Cor Kaloma w lesie asasynów (3 min),,,,,,
,,,,,,,,,,,,,,
Za oddanie Jiny Nixowi,,,,Za przyniesienie Xardasowi / Kreolowi sztyletu Sotha,,,,,,,,,,
,,,,,,,,,,,,,,
"Za zadanie ""Likwidacja orkowych najemników""
(Tylko Zwiadowca) (2 rozdział)",,,,"Za każdego bossa na arenie Blizny
począwszy od drugiego (9 wyciągów)",,,,,,,,,,
,,,,,,,,,,,,,,
"Od Falka za przyprowadzenie Bena
z Zachodniego wybrzeża (2 rozdział)",,,,"Daje Baal Orun za zadanie ""Opętani""
(tylko członek bractwa śniącego) (3 rozdział)",,,,,,,,,,
,,,,,,,,,,,,,,
