Informacje ogólne,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Korzyści jakimi dysponuje Guru pozwalają mu skutecznie działać jako hybryda wojownika i maga,
która zamiast czarów używa do walki także kostura lub miecza magicznego.
Na 5 kręgu możemy nauczyć się runy, która zwiększy nasze obrażenia zadawane w walce wręcz.

Dostępnym wyborem jest również całkowita rezygnacja z nauki czarów, by następnie zostać szamanem lub druidem. 
Jednak to właśnie czysta magia jest sugerowaną ścieżką rozwoju dla początkujących, gdyż jest łatwa i potężna.

Guru wspiera się skrętami, posiada najlepsze skalowanie czarów z intem, a także gildyjny bonus do many za palenie ziela.
Decydującym zadaniem o zostaniu Guru jest eliksir dla Baala Tyona",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Pozostałe informacje,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"Za palenie skrętów Guru otrzymuje +3 many dziennie, max możliwy do uzyskania bonus wynosi łącznie 150 many (50 dni)
Jeśli ktoś jest zdesperowany i nie ma limitu snu, to zaleca się wykorzystywać to odrazu na początku 2r.

Duża część jego czarów jest single target, a jedyne sensowne obszarowe są na 2 i dopiero 5 kręgu.  
Większość z nich ma szanse na ogłuszenie, które działa jedynie na zwykłe moby (nie bossy).

Otrzymuje on także wyjątkowe bonusy z różnych rodzajów skrętów, są tanie w wytworzeniu i opłacalne do użytowania. 

Za zostanie Guru otrzymujemy bonus gildyjny w postaci bazowej regeneracji many +1 /sek oraz 10 odporności na magię.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Prezentacja run 1int = 1dmg (screeny wykonane z int = 0 | Moc Magiczna = 1%),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
FILMIK PREZENTUJĄCY CZARY,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Specjalna runa bojowa,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Woń trucizny zwiększa nasze obrażenia w walce wręcz, czyniąc Guru doskonałym wyborem na hybrydę wojomaga.
Kieł muritana zwiększa obrażenia runy o 25%
Obrażenia dobrze skalują się całą grę i wynoszą ~300 w 5-6 rozdziale",,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Specjalna runa periodyczna,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Wymagana nauka magicznej strzały z 1 kręgu, koszt 15 PN",,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Specjalne Umiejętności,,,,,,,,,,,,Bonusy ze skrętów,,,,
,,,,,,,,,,,,,,,,
Nazwa,,Opis umiejętności,,,,,,,Wymagania,,,Warto jak najszybciej zdobyć przepis Caloma w GD,,,,
Potęga Guru,,Bonus +3% mocy magicznej,,,,,,,5 PN 1000 złota,,,,,,,
Umysł Guru,,Raz na minutę odnawia 10% max many gdy ta spadnie poniżej 10%,,,,,,,2 PN 300 złota,,,Skręt ziela,Raz dziennie +3 many,,,Dostępny od początku
Spokój Guru,,Odporność na klątwy (efekt obniżający dmg magiczny o 50%),,,,,,,5 PN 2000 złota 3 rozdział,,,,,,,
Szaty Gildyjne,,,,,,,,,,,,Zielony Nowicjusz,Odporność na ogień/magie +5,,,Przepis u Fortuno
,,,,,,,,,,,,,,,,
Nazwa,,,Wymagania,,Cięte/Obuch/Kłute/Magia/Ogień,,,Inne,Warunek zdobycia,,,Mrok północy,Odporność na ogień/magie +10,,,Przepis w chacie Caloma w GD
Szata Guru,,,Mana 80 Waga 1,,50/30/20/30/60,,,---,Po zostaniu Guru,,,,,,,
Ciężka szata Guru,,,Mana 500 Waga 2,,80/70/90/70/120,,,---,Po nauce 4 kręgu,,,Zew nocy,"Odporność na ogień/magie +15
+50 Inteligencji",,,Przepis w chacie Caloma w GD
Demoniczna szata guru,,,Mana 600 Waga 2,,120/120/100/120/150,,,---,Wypada z Cor Kaloma,,,,,,,
Ciężka szata Guru,,,Mana 800 Waga 2,,180/180/130/140/180,,,---,Do kupna po osiągnięciu 5 kręgu,,,Gorzki sen,"Odporność na ogień/magie +15
+50 Inteligencji + Spowolnienie czasu",,,"1. Talas 2. Calom
3. Bagienny Smok"
Szata Strażnika Równowagi,,,Mana 1200 Waga 2,,200/210/200/230/230,,,"25 int, 12% unik",Wypada po Zaginionym Bracie,,,,,,,
