Pancerze pod zręczność,Informacje ogólne,,,,,,,,,,,,Pancerze pod siłę
,"Mroczny Rycerz wspomaga się runami zwiększającymi jego zdolności bojowe, polega również na swoim przyzwańcu.

Fabularnie rycerz nie posiada swoich questów, lecz może wykonywać zadania gildyjne mrocznych magów
Możemy również czytać Necronomicon oraz oddawać przeklętą broń Beliarowi w zamian za karmę.

Aby zostać Mrocznym Rycerzem, należy byc obywatelem miasta, przyjąć zadanie ""Horror na cmentarzu"" od Lothara.
Po wykonaniu zadania czytamy notatkę z ciała Rigeliona.
Z notatki dowiemy się o kaplicy znajdującej się głęboko w lesie za farmą Onara,
prowadzi do niej ścieżka zaczynająca się w obozie z wilkami dla Pepe.

Na miejscu będzie czekał na nas Mroczny Mentor, który zarząda oddania paczki.
Przyjmie nas na ucznia, jeżeli w ramach inicjacji zabijemy paladyna.
(słaby paladyn pojawi się pod mostem przy Martwej Harpii).

W ramach balansu runy mrocznego rycerza nie działają gdy załozymy tarczę, kostur lub miecz magiczny (te pod manę).
Nie możemy się również nauczyć trucizn, nie mamy możliwości zostać szamanem, ani druidem.
Jeżeli posiadamy już którąś z powyższych podklas to nie będziemy mogli zostać mrocznym rycerzem.

Trzy standardowe style grania dla MR: 
1. Opieranie się całkowicie na Słudze czyli biżuteria/ekwipunek pod mane i inteligencję, runy pod wspieranie Sługi
2. Gra bez Sługi i oddanie go za slot na kolejną runę, biżuteria/zbroje pod siłę/zręczność, runy pod wspieranie siebie.
3. Gra jednocześnie pod sługę i siebie - opcja zdecydowanie słabsza, polecana na niższych poziomach trudności
",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"W paczce Rigeliona znajduje się: 2x smoła, węgiel, skała krystaliczna, akwamaryn, posążek Beliara, 5 bryłek magicznej rudy, czarna perła
Jeżeli gramy inną klasą to pod oddaniu mentorowi paczki będziemy mogli później go zabić i zdobyć paczkę dla siebie",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Mroczny Sługa / Uma,,,,,,,,,,,,
,"Mroczny Sługa (Uma) to specjalny przyzwaniec ekskluzywny dla Mrocznego Rycerza.
Skaluje się on z maną, inteligencją oraz poziomem właściciela, a także posiada swoje specjalne umiejętności, możliwe do 
wykupienia u Mrocznego Mentora. To samo tyczy się run, których część opiera się właśnie na buffowaniu sługi.

Jeśli zdecydujemy się grać bez Sługi, otrzymamy za to dodatkowy slot na runę oraz zwiększenie skalowania naszych obrażeń z 75% -> 90%
Wiąże się to jednak z nieodwracalną utratą możliwości przyzwania go. Jest to możliwe jedynie w pierwszym rozdziale.",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Prezentacja run,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Można nauczyć się wszystkich, ale występuje limit aktywnych run, możemy zwiększyć go do do trzech.
Koszt many do rzucenia dla każdej runy wynosi kolejno: 50/100/150
Runa pierwszego stopnia trwa 60 minut, drugiego 120 minut, a trzeciego aż 180 minut.

Początkowo mamy tylko jeden slot na runę, kolejnego uczymy się u Mentora, a trzeci dostaniemy za rezygnację ze sługi.",,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,Nazwa,,Koszt PN,Stopień,Opis,,,,,,Wymagania,,
,Mroczny Pakt ,,5PN,1,Przemiana życia sługi w tarczę 30%,,,,,,Brak,,
,,,3PN,2,Przemiana życia sługi w tarczę 50%,,,,,,30 poziom,,
,,,3PN,3,Przemiana życia sługi w tarczę 70%,,,,,,45 poziom,,
,Ochrona Ciała,,5PN,1,Ochrona przed obrażeniami fizycznymi 40 Regen wytrzymałości 1/sek,,,,,,Brak,,
,,,3PN,2,Ochrona przed obrażeniami fizycznymi 70 Regen wytrzymałości 1/sek,,,,,,20 poziom,,
,,,3PN,3,Ochrona przed obrażeniami fizycznymi 100 Regen wytrzymałości 1/sek,,,,,,40 poziom,,
,Ochrona Ducha,,5PN,1,"Ochrona przed ogniem i magią 40, ochrona przed upadkiem 10",,,,,,Brak,,
,,,3PN,2,"Ochrona przed ogniem i magią 70, ochrona przed upadkiem 10",,,,,,20 poziom,,
,,,3PN,3,"Ochrona przed ogniem i magią 100, ochrona przed upadkiem 10",,,,,,35 poziom,,
,Ofiara Krwi,,5PN,1,"Przywraca HP sługi 75 + 20%, wymagane życie 20% ",,,,,,Brak,,
,,,3PN,2,"Przywraca HP sługi 150 + 30%, wymagane życie 30% ",,,,,,20 poziom,,
,,,3PN,3,"Przywraca HP sługi 350 + 40%, wymagane życie 40% ",,,,,,40 poziom,,
,Zaraza,,5PN,1,"Dodatkowe obrażenia 10, 5 ticków po 20 obrażeń każdy, koszt many za każdy cios",,,,,,Brak,,
,,,3PN,2,"Dodatkowe obrażenia 25, 5 ticków po 35 obrażeń każdy, koszt many za każdy cios",,,,,,20 poziom,,
,,,3PN,3,"Dodatkowe obrażenia 40, 5 ticków po 55 obrażeń każdy, koszt many za każdy cios",,,,,,40 poziom,,
,Paranoja,,5PN,1,Bonus do obrażeń i HP sługi 15%,,,,,,Brak,,
,,,3PN,2,Bonus do obrażeń i HP sługi 25% ,,,,,,20 poziom,,
,,,3PN,3,Bonus do obrażeń i HP sługi 35% ,,,,,,40 poziom,,
,Wampiryzm,,5PN,1,Regen hp 1/sek. Lifesteal 10/hit. +5% max. hp za zabicie. +2% max. hp sługi za zabicie,,,,,,Brak,,
,,,3PN,2,Regen hp 3/sek. Lifesteal 20/hit. +5% max. hp za zabicie. +2% max. hp sługi za zabicie,,,,,,20 poziom,,
,,,3PN,3,Regen hp 6/sek. Lifesteal 30/hit. +5% max. hp za zabicie. +2% max. hp sługi za zabicie,,,,,,40 poziom,,
,Objęcia mroku,,5PN,1,"Bonus do HP 100, bonus do siła i zręczność 25 ",,,,,,Brak,,
"Wygląd Sługusa:
(zwykła uma)",,,3PN,2,"Bonus do HP 200, bonus do siła i zręczność 40 ",,,,,,25 poziom,,Specjalne dary
,,,3PN,3,"Bonus do HP 500, bonus do siła i zręczność 70 ",,,,,,45 poziom,,
,Umiejętności bohatera oraz sługi do nauczenia u Mrocznego Mentora,,,,,,,,,,,,
,,,,,,,,,,,,,
,Opis umiejętności,,,,,,,,Koszt nauki,,Wymagany lvl,,
,,,,,,,,,,,,,"W kapliczce Beliara możemy odebrać specjalne dary, które nie mają wpływu na koszt zwykłych darów:"
,Pasywna runa zarazy - nie wlicza się do używanych run (wymagana nauczona runa zarazy),,,,,,,,6 PN,2000 złota,15,,
,,,,,,,,,,,,,
,Zaraza skaluje się z inteligencją i maną bohatera,,,,,,,,3 PN,1000 złota,20,,
,,,,,,,,,,,,,
,"Odzyskanie 1% wytrzymałości przy uderzeniu (Tylko uderzonych przez rycerza)
Na dynamicznym trybie staminy przywraca 2%.",,,,,,,,5 PN,1000 złota,25,,
,,,,,,,,,,,,,
,Zwiększenie maksymalnej ilości run o jedną,,,,,,,,20 PN,5000 złota,40,,
,,,,,,,,,,,,,"Zdrowie bohatera +50
50 karmy"
,"Sługa leczy bohatera, jeśli ten ma mniej niż 33% zdrowia",,,,,,,,5 PN,1200 złota,1,,
,,,,,,,,,,,,,
,Zwiększa ochronę sługi na wszystko o 50 punktów (można wziąć 2 razy),,,,,,,,4 PN,800 złota,1,,"Zdrowie sługi +500
50 karmy"
,,,,,,,,,,,,,
,Sługa leczy się przy zabiciu wroga,,,,,,,,3 PN,750 złota,1,,
,,,,,,,,,,,,,"Zdrowie sługi +500
100 karmy"
,Prędkość ataku i poruszania się sługi 10% większa,,,,,,,,6 PN,2000 złota,1,,
,,,,,,,,,,,,,
,Krzyk ciemności (Pojedynczy pocisk w przeciwników walczących bronią),,,,,,,,4 PN,1500 złota,10,,"Prędkość sługi +5%
100 karmy"
,,,,,,,,,,,,,
,Mniejszy czas odnowienia sługi,,,,,,,,2 PN,750 złota,15,,
Xardas i Kreol nagrodzą nas maną lub HP za każde serce demona jakie im przyniesiemy,,,,,,,,,,,,,"Możemy składać Beliarowi w ofierze przeklęte bronie, za każdą otrzymamy 1 karmy
Możemy sprzedawać Mrocznemu Bogu również karmę u Innosa"
,Fala pustki (Obszarowe obrażenia magiczne),,,,,,,,5 PN,2000 złota,20,,
,,,,,,,,,,,,,
,Sługa pasywnie regeneruje swoje zdrowie,,,,,,,,4 PN,1500 złota,25,,
,,,,,,,,,,,,,
