   Informacje ogólne,,,,,,,,,,,Aury - wymagania,,,,,
"Mroczny przywoływacz został wprowadzony w akutalizacji 26.04.2023.
Charakteryzuje się on grą opartą na summonach i znacznym osłabieniem obrażeń z innych źródeł.
Mroczny przywoływaczem zostajemy w dialogu z wyborem ścieżki mroku u Xardasa.
Przywoływacz, jak sama nazwa wskazuje, para się przywoływaniem istot Beliara oraz wzmacnianiu ich specjalnymi aurami",,,,,,,,,,,"Aury to runy charakterystyczne dla Przywoływacza, wręcza je nam Xardas zaraz po nauczeniu się ich.
Runy te wzmacnią nasze summony lub osłabiają wrogów w trakcie działania.",,,,,
Opis ogólny,,,,,,,,,,, Nazwa,,,Koszt,,Wymagania
"Zostanie mrocznym przywoływaczem wygląda tak samo jak w przypadku pozostałych mrocznych magów - musimy dać Xardasowi posążek Beliara, zostać adeptem, wykonać runę 'Przyzwania szkieleta goblina' oraz osiągnąć wymagany poziom many oraz inteligencji by zostać pełnoprawnym magiem",,,,,,,,,,,Aura władcy nieumarłych,,,5 PN 1000 złota,,1 krąg
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Aura mistrza kości,,,5 PN 750 złota,,1 krąg
,,,,,,,,,,,,,,,,
    Inne rzeczy warte uwagi,,,,,,,,,,,Aura szybkich kości,,,10 PN 2000 złota,,2 krąg
,,,,,,,,,,,,,,,,
"Po zostaniu mrocznym przywoływaczem słabnie nasz dmg magiczny (-75%)

Nie można zostać szamanem, ani mistrzem trucizn, a zostanie druidem nie ma sensu, jako że przyzwańcy i aury nie działają podczas przemiany.

W przeciwieństwie do Nekromanty, Przywoływacz nie ma możliwości korzystania z demonologii oraz peta Hubaxisa.
Posiada ona typowe benefity mrocznych gildii, takie jak oddawanie serc, przeklętych broni, a także dostęp do niektórych misji.

Dodatkowo, w momencie zostania przywoływaczem otrzymujemy permanentny bonus regeneracji many 1/sek.
Możemy także raz dziennie pomodlić się do Beliara, co zwiększy naszą manę o 2 punkty (max 50pkt. do odebrania)",,,,,,,,,,,Aura duszącej ciemności,,,7 PN 3000 złota,,3 krąg
,,,,,,,,,,,Aura magicznej broni,,,15 PN 5000 złota,,4 krąg
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Leczenie przyzwanych istot,,,3 PN 1000 złota,,-
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Umiejętności Przywoływacza,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Regeneracja many
(tańsza niż u Vatrasa)",,,"10 PN
8000 szt. złota",,2 krąg lub 2 rozdział
Runy przywołania,,,,,,,,,,,,,,,,
,,,,,,,,,,,Mana +15,,,"4 PN
500 szt. złota",,10 poziom | 1 krąg magii
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Szansa na dodatkowe obrażenia w walce wręcz,,,"4 PN
1000 szt. złota",,12 poziom 
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Regeneracja HP nieumarłych,,,"2 PN
500 szt. złota",,10 poziom
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Przekierowywanie części otrzymanych obrażeń na summony,,,"6 PN
1000 szt. złota",,20 poziom | 1 krąg magii
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Zwiększone przebicie pancerza
(dla summonów)",,,"3 PN
500 szt. złota",,15 poziom | 1 krąg magii
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Obrażenia przeciwko duchom,,,"4 PN
2000 szt. złota",,20 poziom | 2 krąg magii
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Regeneracja many + 1 many/sek,,,"2 PN
1000 szt. złota",,10 poziom | 1 krąg magii
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Zwiększenie limitu summonów o 1,,,"5 PN
2000 szt. złota",,25 poziom | 2 krąg magii
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Zmniejszenie obrażeń otrzymywanych przez przyzwańców o 5%,,,"3 PN
1500 szt. złota",,20 poziom | 2 krąg magii
Nauka przyzwania sługi (Sida) kosztuje 10PN i 1000 złota,,,,,,,,"Składniki do stworzenia sługi:
6 kości szkieletu
Czaszka wisielca
Przyzwanie szkieletu
Czarna perła
Akwamaryn",,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Sid zajmuje tylko 1 slot (zamiast 2),,,"12 PN
5000 szt. złota",,45 poziom
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Zmniejszenie kosztu many aur,,,"5 PN
4000 szt. złota",,30 poziom
Aury ulepszające przywołańców,,,,,,,,,,,,,,,,
,,,,,,,,,,,Zmniejszenie kosztu many utrzymania przywołańców,,,"7 PN
2500 szt. złota",,15 poziom
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Przydatne skróty klawiszowe do sterowania przywołańcami,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,G,,atak namierzonego celu,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Shift + G,,reset wszystkich summonów,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,Shift + E,,teleport summonów przed siebie,,,
