,,,,,,,,,,,,,
,,,INFORMACJE OGÓLNE,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,"Najemnik jest uniwersalną gildią wojowniczą, posiada pasywny bonus 20% zwiększonych obrażeń od krwawienia oraz o 5% większą szansę na dodatkowe krwawienie. Mamy również możliwość nabycia wyjątkowych toporów od Khaleda i nauki tworzenia wspaniałych mieczy z magicznej rudy u Benneta. Choć gildia oferuje możliwość grania pod zręczność to by wykorzystać jej unikalne możliwości zaleca się grać pod siłę i walkę w bliskim kontakcie.

Najemnik otrzymuje ""dniówkę"" od Onara, którą musimy sobie sami wytargować. Oddanie talerza Marii zwiększy naszą wypłatę.
Dochód ten zostaje utracony od momentu zostania Łowcą Smoków lub jeżeli ociągaliśmy się z wykonaniem zadania od Torlofa w 2R. ",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,"W 3 rozdziale możemy nauczyć się lepszej regeneracji zdrowia z mikstur.

Torlof nauczy nas jak jeszcze bardziej spotęgować obrażenia
oraz lepiej znosić obrażenia fizyczne.

Najemnik to najlepszy wybór do gry z podgildią Szamana dzięki unikatowym toporom oraz leczeniem opartym domyślnie na miksturach. 

Nadaje się do grania jako Mistrz Trucizn (tylko gdy zamierzamy grać pod broń białą)
Druid jest odradzany (są lepsze wybory). ",,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,SPECJALNE UMIEJĘTNOŚCI NAJEMNIKA,,,,,,,,,,
,,,,,,,,,,,,,
,,,Nazwa umiejętności,,,,,,,,Wymagania i koszt,,
,,,,,,,,,,,,,
,,,Dwukrotnie szybsza i zwiększona o 50% regeneracja z mikstur,,,,,,,,"3PN, 3R",,
,,,,,,,,,,,,,
,,,Redukcja otrzymywanych obrażeń fizycznych o 10%,,,,,,,,"7PN, 20lvl",,
,,,,,,,,,,,,,
,,,Zwiększone obrażenia od krwawienia o 35%,,,,,,,,"5PN, 25lvl",,
,,,,,,,,,,,,,
,,,Szansa na dodatkowe 100 obrażeń bronią (1H - 15% | 2H - 25%),,,,,,,,"7PN, 30lvl, 250 siła/zręka, 2R",,
,,,,,,,,,,,,,
,,,PANCERZE GILDYJNE,,,,,,,,,,
,,,,,,,,,,,,,
,,,Nazwa,,,Wymagania,,Cięte/obuchowe/kłute/ogień/magia/upadek,,,Dodatkowe,Warunek zdobycia,
,,,Lekki pancerz najemnika,,,Wytrzymałość 100,,45/25/15/0/0,,,HP 25,Za dołączenie do najemników,
,,,Przekuty lekki pancerz najemnika,,,Wytrzymałość 150,,55/65/45/0/0,,,HP 50,Wymagane podstawowe przekuwanie,
,,,Pancerz najemnika,,,Wytrzymałość 200,,60/40/35/0/0,,,HP 45,Sprzedaje Lee,
,,,Przekuty pancerz najemnika,,,Wytrzymałość 250,,80/75/65/10/5,,,HP 65,Wymagane podstawowe przekuwanie,
,,,Ciężki pancerz najemnika,,,Siła 90 Wytrz 300,,80/90/70/5/5,,,HP 75,Sprzedaje Lee w 2R,
,,,Przekuty ciężki pancerz najemnika,,,Siła 120 Wytrz 350,,120/125/90/10/10,,,HP 100,Wymagane podstawowe przekuwanie,
,,,Lekki pancerz łowcy smoków,,,Wytrz 450,,130/130/125/30/10,,,HP 175,Dostajemy za zostanie łowcą smoków,
,,,Pancerz łowcy smoków,,,Siła 200 Wytrz 600,,150/170/120/65/20,,,HP 200,Sprzedaje Bennet w 3R,
,,,Przekuty l. p. łowcy smoków,,,Wytrz 500,,180/180/170/55/40,,,HP 225,Wymagane podstawowe przekuwanie,
,,,Średni pancerz łowcy smoków,,,Siła 275 Wytrz 650,,220/230/210/85/50/5,,,HP 350,Do kupienia u Jana,
,,,Ciężki pancerz łowcy smoków,,,Siła 250 Wytrz 750,,190/210/180/50/40/6,,,HP 350,Sprzedaje Bennet w 4R,
,,,Przekuty p. łowcy smoków,,,Siła 250 Wytrz 600,,200/220/200/75/60,,,HP 300,Wymagane zaaw. przekuwanie,
,,,Przekuty c. p. łowcy smoków,,,Siła 375 Wytrz 750,,250/260/260/80/60,,,HP 400,Wymagane zaaw. przekuwanie,
,,,Pancerz łowcy nagród,,,Zręka 90,,50/40/70/5/5/1,,,Unik 10%,Sprzedaje Lee po dołączeniu,
,,,Przekuty pancerz łowcy nagród,,,Zręka 90,,80/60/90/15/15,,,Unik 10%,Wymagane podstawowe przekuwanie,
,,,Pancerz łowcy orków,,,Zręka 275,,150/120/160/40/30/2,,,Unik 15%,Sprzedaje Bennet w 3R,
,,,Przekuty pancerz łowcy orków,,,Zręka 275,,185/155/180/55/40/3,,,Unik 15%,Wymagane zaaw. przekuwanie,
,,,MIECZE Z MAGICZNEJ RUDY (uczy Bennet tylko najemników),,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Nazwa,,Siła,Obrażenia,Zasięg,Rodzaj,Inne statystyki,,,,Warunki zdobycia
,,,Miecz z magicznej rudy,,85,150,90,Miecz,Bonus do władania: 4%,,,,Uczy Bennet w 1 rozdziale
,,,Dwuręczny miecz z magicznej rudy,,100,180,130,Miecz,"Bonus do władania: 4%, Odp. na magię: 5",,,,Uczy Bennet w 1 rozdziale
,,,"Długi miecz z
magicznej rudy",,110,180,90,Miecz,"Bonus do władania: 4%, Odp. na magię: 10",,,,Uczy Bennet w 2 rozdziale
,,,Ciężki dwuręczny miecz z magicznej rudy,,150,240,140,Miecz,Bonus do władania: 4% Odp. na magię: 10,,,,Uczy Bennet w 2 rozdziale
,,,Doskonały miecz z magicznej rudy,,180,260,110,Miecz,"Bonus do władania: 4%
Przebicie pancerza 10%
Odp. na magię: 15",,,,Uczy Bennet w 3 rozdziale
,,,Doskonały dwuręczny miecz z magicznej rudy,,190,270,150,Miecz,Bonus do władania: 4% Odp. na magię: 15,,,,Uczy Bennet w 3 rozdziale
,,,Jednoręczny Pogromca Smoków,,270,350,130,Miecz,"Bonus do władania 4%
Przebicie pancerza 15%
 Odp. na magię/cięte/obuchowe: 30",,,,Uczy Bennet w 4 rozdziale
,,,Dwuręczny Pogromca Smoków,,300,400,160,Miecz,"Bonus do władania: 4%
Odp. na magię/obuchy/fizyczne: 30",,,,Uczy Bennet w 4 rozdziale
,,,TOPORY GILDYJNE (Sprzedaje Khaled tylko najemnikom),,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Nazwa,,Siła,Obrażenia,Zasięg,Rodzaj,Inne statystyki,,,,Warunki zdobycia
,,,Lekki topór bojowy (2H),,50,100,70,Topór,---,,,,Sprzedaje Khaled
,,,Kiepski topór najemnika (2H),,70,110,120,Topór,---,,,,Sprzedaje Khaled
,,,,,,,,,,,,,
,,,Topór obosieczny (1H),,80,110,70,Topór,---,,,,Sprzedaje Khaled
,,,Ciężki młot bojowy (2H),,100,150,110,Obuch,Przebicie pancerza 40%,,,,Sprzedaje Khaled
,,,,,,,,,,,,,
,,,Topór wojenny (2H),,130,150,100,Topór,---,,,,Sprzedaje Khaled
