Informacje ogólne,,,,,,,,,,,,Esencja,,"Statystyki bazowe
oraz wpływ INT",,,Tier
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Nekromanta specjalizuje się zarówno w czarach ofensywnych jak i w przywoływaniu potężnych demonów.
Ma również dostęp do specjalnej umiejętności pozwalającej mu używać zaklęć za cenę swojego życia gdy zabraknie mu many

Nasze czary mają 25% szans na zadanie dodatkowych 65% obrażeń. Szansa ta wzrasta o 1% za każdy 1% mocy magicznej.
Oprócz wzmocnienia obrażeń mamy również szansę na unieruchomienie przeciwnika.",,,,,,,,,,,,"brak esencji
dostępny zaraz po nauce podstawowej demonologii i runy przywołania demona",,"SŁABY DEMON
HP: 1600 (1 INT = 1 HP) 100%
SIŁA: 225 (4 INT = 1 SIŁA) 25%
ZRĘCZNOŚĆ: 200
DEFY: 125/190/125/100/100
(brak skalowania odporności)",,,0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Słaba esencja demona
Zwykły demon
(np. z zadania Xardasa w jaskini z widmem niedaleko karczmy Orlana)",,"SILNY DEMON
HP: 2000 (1 INT = 1 HP) 100%
SIŁA: 250 (3 INT = 1 SIŁA) 33%
ZRĘCZNOŚĆ: 225
DEFY: 170/205/175/125/125
(brak skalowania odporności)",,,1
Opętanie,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Czary nekromanty mają szansę na opętanie wroga. Gdy nasz czar zada zwiększone obrażenia, mamy 20% (lub 10% dla czarów obszarowych) szans, że nasz wróg przez 3 sekundy straci nad sobą kontrolę i nie będzie mógł atakować.
[DZIAŁA NA BOSSY]",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Esencja demona
Keyron
w świątyni Adanosa w Jarkendarze lub z piątego zabitego demona",,"WYŻSZY DEMON
HP: 2000 (1 INT = 2 HP) 200%
SIŁA: 275 (2 INT = 1 SIŁA) 50%
ZRĘCZNOŚĆ: 250
DEFY: 200/230/220/150/150
(brak skalowania odporności)",,,2
Pet Hubaxis,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
