,Informacje ogólne,,,,,,,,,,
,"Gildia dostępna tylko po zainstalowaniu pluginu ""AB_PathOfDamned_Mod"", który znajdziemy na dysku Sefarisu

Aby dołączyć do gildii, należy porozmawiać z Remusem w Martwej Harpii. Po dołączeniu wybieramy jedną z trzech subklas: Wojownik, Mag lub Pięściarz. 

Gildia oferuje potężne bonusy, takie jak kradzież życia, runa ""Widzenie w ciemności"", ataki obszarowe i unikalne umiejętności zależne od subklasy. 

Dodatkowo wypicie 50 fiolek ludzkiej krwi wzmacnia postać o +1 do siły i zręczności oraz +2 do many.

Z kapliczki Beliara można otrzymać specjalny dar ""Przeklęte właściwości krwi"" (200 karmy):
krew zwierzęca - na 10 minut +10% przepływu krwi
krew ludzka - na 10 minut +10% obrażeń ludziom
krew orka - na 10 minut +20 zręczności/siły 

Gildia wiąże się jednak z ograniczeniami: zmniejszone obrażenia w dzień o 15% (od 05:00 do 20:00), podwójna wrażliwość na ogień, mikstury leczące i mikstury many są słabsze o 50%, brak dostępu do magii światła i zakaz modlitwy do Innosa, nie może pić wody święconej i nie może używać srebrnej broni. Niektóre umiejętności nie działają przy użyciu łuków, kusz i tarcz. Nie można zostać szamanem/druidem/mistrzem trucizn.

Koszt umiejętności w trybie utrudnionym wynosi 70% PNów",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Poziomy rozwoju Potępionego,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Nazwa,,Opis,,,,,,,,Wymagania
,Adept,,"Najniższy poziom. Każda osoba, która właśnie otrzymała moc, zostaje adeptem. Nie odczuwa głodu, pragnienia ani potrzeby snu. Posiada powolną regenerację życia, many i wytrzymałości.",,,,,,,,-
,,,,,,,,,,,
,,,,,,,,,,,
,Starszy Potępionych,,"Posiada już podstawowe umiejętności i może nimi władać na bardziej zaawansowanym poziomie. Nie działają na niego choroby, osłabienia i klątwy. Zwiększona szybkość regeneracji zdrowia, many i wytrzymałości.",,,,,,,,"18lvl, 2 rozdział"
,,,,,,,,,,,
,,,,,,,,,,,
,Mistrz Potępionych,,"Bardzo biegły w swoich umiejętnościach. Odporny na opętanie, zimno i większość trucizn. Jeszcze większa szybkość regeneracji zdrowia, many i wytrzymałości.",,,,,,,,"32lvl, 2 rozdział, gadka z Garondem lub ucieczka Kruka"
,,,,,,,,,,,
,,,,,,,,,,,
,Arcymistrz Potępionych,,"Bardzo rzadki i potężny przedstawiciel swojego gatunku. Otrzymuje mniej obrażeń od ataków wroga o 3%. Jeszcze większa szybkość regeneracji zdrowia, many i wytrzymałości.",,,,,,,,"45lvl, 3 rozdział, brak aktywnych questów: Morderstwo w mieście, Śmiertelne spotkanie, Szturm na zamek"
,,,,,,,,,,,
,,,,,,,,,,,
,Umiejętności Potępionego,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Nazwa,,Koszt,Opis,,,,,,,Wymagania
,Duch Potępionych,,5PN,Dodatkowe 20 punktów many.,,,,,,,Brak
,,,,,,,,,,,
,,,,,,,,,,,
,Zręczność Potępionych,,7PN,Po prostu akrobatyka.,,,,,,,Brak
,,,,,,,,,,,
,,,,,,,,,,,
,Oczarowanie,,2PN,Dodatkowe 30 punktów retoryki oraz zwiększenie szansy na wyłganie się z kradzieży o 30%.,,,,,,,15 poziom
,,,,,,,,,,,
,,,,,,,,,,,
,Przeklęte ciało,,5PN,Dodatkowe 30 punktów obrony przed obrażeniami fizycznymi.,,,,,,,16 poziom
,,,,,,,,,,,
,,,,,,,,,,,
,Piórkospadanie,,3PN,Brak obrażeń od upadku z wysokości.,,,,,,,20 poziom
,,,,,,,,,,,
,,,,,,,,,,,
,Cienisty przewrót,,8PN,"Podczas używania akrobatyki (przewrót lub skok), 40% szans na zignorowanie obrażeń.",,,,,,,"Starszy Potępionych, 25 poziom"
,,,,,,,,,,,
,,,,,,,,,,,
,Wytrzymałość bestii,,5PN,Prędkość sprintu zwiększona o 20%.,,,,,,,"Starszy Potępionych, 22 poziom"
,,,,,,,,,,,
,,,,,,,,,,,
,Regeneracja,,"P1: 4PN
P2: 5PN",Zwiększona regeneracja statystyk (hp/mana/stamina),,,,,,,"P1: Starszy Potępionych, 20 poziom
P2: Mistrz Potępionych, 35 poziom"
,,,,,,,,,,,
,,,,,,,,,,,
