"RETORYKA, POSEGREGOWANE WEDŁUG POSTĘPU GRY",,,,,,,,,
,,,,,,,,,
"Dialogi
(część działa tylko podczas pierwszej rozmowy)",,,,,,,,,Pulpity i Książki
,,,,,,,,,
Opowiedzenie Jessiemu o oszukaniu nas w Dolinie Górniczej.,,,,,,,,,"""Wyższe Runy"" Na stole runicznym w Wieży Xardasa"
"Poproszenie Jessego o imię Dextera, kiedy nie mamy ani jednej monety.",,,,,,,,,3 pulpity spośród 7 w wieży Xardasa - 3 retoryki
Za opowiedzenie się za farmerami podczas pierwszej rozmowy z Lobartem.,,,,,,,,,
Za wejście do miasta sposobem od Lestera. (10 roślin i podanie się za wysłannika do Constantino),,,,,,,,,
Za danie Ragnarowi na Placu Wisielców dwóch piw,,,,,,,,,Pulpit na farmie Lobarta / w domku zabójców w porcie obok Jacka / w mieszkaniu w Vatrasa
"Za powiedzenie Moe ""A więc tutaj zbiera się całe towarzystwo""",,,,,,,,,Pulpit w Domu Thorbena
Zaszantażowanie Gritty i otrzymanie od niej złota Matteo,,,,,,,,,Pulpit w Sklepie Matteo
Za zapytanie się Jory o miecz Alrika po zwróceniu Jorze jego pieniędzy,,,,,,,,,
"Powiedzenie Daronowi: ""jestem biedakiem"" po pogadaniu z nim o klasztorze
(Musimy mieć mniej niż 10 złota w ekwpiunku)",,,,,,,,,"""Poezja Myrtańska"" Do kupienia u Matteo za 100 złota"
Zażądanie podziału po połowie w dialogu z Nagurem w karczmie portowej.,,,,,,,,,"""Podstawy Retoryki"" podczas zadania ""Zadanie Gallahada"" - 5 retoryki"
"Podczas spotkania z Asmalem, przy zadaniu Gallahada wybierz opcje:
 Cóż… Ja → Proszę, weź ten list i sakiewkę → Twoje groźby nie robią na mnie wrażenia → głupio czy nie, walczmy",,,,,,,,,"Pulpit w Domu Salandrila
 (Można przeczytać przy wejściu po 22 po balkonie)"
"Za wytargowanie ceny 5 monet za informacje od Kardifa
(To za dużo --> Nie potrzebuje Twoich informacji)",,,,,,,,,"Pulpit w Domu Lutero 
(Można przeczytać przy wejściu po 22 po balkonie)"
Za poproszenie Martina o pomoc z klientami Coragona,,,,,,,,,Pulpit w kościele w Klasztorze.
,,,,,,,,,Książka obok Talamona w piwnicy klasztoru
Za odblokowanie wejścia do górnego miasta,,,,,,,,,Przeczytanie pulpitu o Próbie Ognia w bibliotece magów
"Za przekonanie Parlana, że nie wiemy skąd się tutaj wzięliśmy
(Wymagane 10 retoryki)",,,,,,,,,"Przeczytanie księgi ""Smoczy Oddech"" ze skarbca w klasztorze
(Uwaga: Klucz jest w skrzyni w prawej komnacie magów) (Uwaga: Wymagane 350+HP)"
"Za przekonanie Saturasa, że ich plan i tak by się nie powiódł.
(Wymagane 15 retoryki)",,,,,,,,,Przeczytanie pulpitu o Ekspedycji Magów Ognia w pomieszczeniu z Talomonem
Za oddanie Halvorowi notatki od bandytów obok farmy Akila,,,,,,,,,"Przeczytanie zapisków Xardasa z zadania ""Ekspedycja Magów Ognia""
Należy po przeczytaniu poprzedniego pulpitu iść do Pyrokara i Xardasa"
"Za przekonanie Tilla, aby zapłacił nam 100 złota za zagonienie Bronko do roboty",,,,,,,,,Za przeczytanie Dziennika Vatrasa
"Dowiedzenie się od Cassii, kto ukradł dziennik Vatrasa
(Wymagane 15 retoryki)",,,,,,,,,"Za przeczytanie książki od Lothara za zadanie ""Horror na cmentarzu"""
"Wytargowanie od Ramireza dziennika Vatrasa za darmo
(Wymagane 20 retoryki) (Uwaga:TYLKO JEŚLI NIE ZABILIŚMY ATILLI)",,,,,,,,,"książka ""Krwiopijcy"", którą dostajemy za przyniesienie Dragomirowi jego kuszy"
Za skłócenie braci na farmie Akila,,,,,,,,,"Za przeczytanie książki ""Arcanum Golum"", która leży na stole obok skrzyni w domu Fernando"
Oddanie Lariusowi 4 listów rekomendacyjnych dla Gallahada,,,,,,,,,"Za przeczytanie ""Prawdziwej Mocy"" do kupienia u Isgarotha"
Za zapytanie się Rumbolda ile chce złota za zostawienie Bengara (Wymagane 20 retoryki),,,,,,,,,"Za przeczytanie ""Boskiej mocy gwiazd"" do kupienia za Constantino/Zurisa za 400 złota"
"Przekonanie Bengara, aby pozwolił paść się owcom pasterza z farmy Sekoba
(Uwaga: Wymagane jest ukończenie zadania ze strażnikami nękającymi Bengara)",,,,,,,,,"Za przeczytanie książki ""Receptury Win I"" do kupienia u Constantino za 2500 złota"
"Wytargowanie od Goraxa ceny za wino mniejszej niż 50 złota [Mając 50 retoryki można bez targowania]
(Zwiększasz o 5%, zmniejszasz o 10%, jak ma słaby nastrój to kilka razy zwiększasz)",,,,,,,,,"Za przeczytanie książki ""Receptury Win II"" do kupienia u Salandrila za 2000 złota"
"Za przekonanie Samuela do oddania nam przepisu na Szybkiego Śledzia
(Wymagane 40 retoryki)",,,,,,,,,"Za przeczytanie książki ""Starożytna Astronomia"" do kupienia u Salandrila za 3000 złota"
"Za przekonanie Grega do zmniejszenia ceny za dostawy dla Magów Wody
(Wymagane 40 retoryki)",,,,,,,,,"Za przeczytanie książki ""Tajniki Magii"" sprzedaje Galahad, leży w zamkniętym pokoju obok Babo w klasztorze"
"Za przekonanie Silvera do zapłacenia nam większej nagrody za oczyszczenie plaży
(Wymagane 40 retoryki)",,,,,,,,,"Za przeczytanie ksiażki ""Tajniki alchemii"" do kupienia u Salandrila za 1000 złota"
"Za przekonanie Barthomolewa do zapłacenia nam za przyniesienie mu Młotu Lou
(Wymagane 40 retoryki)",,,,,,,,,"Za przeczytanie książki ""Łowy i zwierzyna"" do kupienia u Bospera za 1000 złota"
"Za przekonanie Pyrokara do modlitwy za piratów, po zabiciu Kapitana Drake'a
(Wymagane 50 retoryki)",,,,,,,,,"Za przeczytanie książki ""Mądrość Bogów"" do kupienia u Isgarotha za 3000 złota"
"Za przekonanie Crimsona do zapłaty 10 sztuk złota za bryłke złota
(Wymagane 40 retoryki)",,,,,,,,,Za przeczytanie pulpitu u druida Fregyala
"Za przekonanie paladyna pilnującego statku, do wpuszczenia nas
(Dostępne dla: Mag Ognia / Mag Wody / Mroczni Magowie)",,,,,,,,,"Za przeczytanie książki ""Objawy chorób"" do kupienia u Baala Tyona za 500 złota
(tylko członek bractwa)"
"Za danie Kirzharstowi 3 bryłek żelaza, zamiast 3 bryłek rudy
(Uwaga: Tylko podczas zadania ""Bezgraniczna potęga"")",,,,,,,,,Za przeczytanie 5 pulpitów w Bibliotece Uczonych - 5 retoryki
"Za przekonanie ducha w Przeklętej Latarni, aby nie zabijał Jacka
(Wymagane 40 retoryki)",,,,,,,,,Za przeczytanie Starożytnych Zapisków Budowniczych z biblioteki
Za wybranie odpowiednich opcji dialogowych podczas zadania z Loą,,,,,,,,,Za przeczytanie 3 pulpitów w Dolinie Ashtara - 3 retoryki
Za przekonanie Nigela do zapłaty nam za uratowanie mu życia,,,,,,,,,Za czytanie 3 pulpitów w Dużej Piramidzie na Pustyni Adanosa - 3 retoryki
Za wytargowanie łoju kretoszczura do gorzelini Vina (70 złota) od Ehnima po skłóceniu braci na farmie Akila.,,,,,,,,,Za przeczytanie pulpitu w Starej Wieży Xardasa
"Za przekonanie Kreola do oszczędzenia naszego życia (Wymagane 40 retoryki)
(Uwaga: Dialog występuje tylko wtedy, gdy nie mamy zadania Arcymag) (Niewarte uwagi)",,,,,,,,,"Za przeczytanie pulpitu w Wieży Kreola
(Uwaga: Pulpit ma 5 stron, więc otrzymamy aż 5 punktów retoryki!)"
"Za przekonanie Grimesa do oddania nam klucza do skrzyni z Płomieniem Eligora
(Wymagane 30 retoryki)",,,,,,,,,"Za przeczytanie książki ""Kunszt obrony południowców"" z regału w Starej Wieży Xardasa"
"Za przekonanie Onara do oddania nam Wieży Atros za darmo
(Wymagane 50 retoryki)",,,,,,,,,"Za przeczytanie książki ""Bitwa o Varant I"" z budynku Garonda w Górniczej Dolinie"
"Za przekonanie Hodgesa, aby wyjawił nam tożsamość zabójcy Lothara
(Wymagane 50 retoryki)",,,,,,,,,"Za przeczytanie książki ""Bitwa o Varant II"" z budynku Garonda w Górniczej Dolinie"
"Za przekonanie Snipesa, aby pracował dla nas w kopalni
(Wymagane 50 retoryki i ukończone zadanie z Torbą Rudy)",,,,,,,,,"Za przeczytanie ksiązki ""Mądrość Bogów III"" z budynku Garonda w Górniczej Dolinie"
"Za pomyślne przekonanie Onara do handlu z Gildią Kupców.
(Dialogi: Zapomnij o tym --> Po prostu chce więcej zarobić --> To nie twoja sprawa)",,,,,,,,,"Za przeczytanie ""Dziennika Corneliusa"""
"Za przekonanie Ur-Thralla do wpuszczenia nas do Kopalni Orków
(Uwaga: Nalezy uprzednio zrobić Mroczne Rytuały i ruszyć zadanie ""Zaginieni bez wieści"")",,,,,,,,,"Za przeczytanie książki od Lutero za zadanie ""Umowa z Onarem"""
"Za przekonanie Ferosa, aby zapłacił nam za odnalezienie jego miecza
(Wymagane 50 retoryki)",,,,,,,,,"Za przeczytanie książki ""Oddech śmierci"" wypadającej z Miragula w Jaskini Bólu"
"Za przekonanie Vakur-Shacka, aby przyjął od nas monety, zamiast bryłek złota.
(Wymagane 75 retoryki)",,,,,,,,,Za przeczytanie dowolnego pulpitu w Obozie Bractwa w Górniczej Dolinie
,,,,,,,,,"Za przeczytanie książki ""Sztuka Strzelania"" do kupienia za 3000 złota u Tandora w GD"
,,,,,,,,,"Za przeczytanie książki ""Modlitewnik Wybrańca"" od Marduka (tylko paladyn)"
,,,,,,,,,"Za przeczytanie książki ""Sztuka walki"", którą otrzymamy od Velarana po zadaniu z asystentem"
,,,,,,,,,"Za przeczytanie ksiązki ""Dziennik Y'Beriona"", która wypada z Demona w Obozie Bractwa w GD"
,,,,,,,,,"Za przeczytanie książki ""Nocne Cienie"", która jest w wieży Nergala niedaleko Groma (klucz u Kreola)"
,,,,,,,,,"Za przeczytanie 6 książek ""Kroniki Stonnosa"" - 6 retoryki"
