"Ważna informacja! Pamiętaj, że Ognik może pokazywać lokalizacje tabliczek i roślin, 
 jeśli zakupimy specjalną umiejętność w dialogu z nim (10 000 sztuk złota).
Umiejętność dostępna jest również za darmo po pokonaniu bossa Ahirona w Khorinis

Kliknięcie w opis lokalizacji rośliny zaprowadzi cię do
 screena miejsca oraz mapki (wymaga aktualizacji).",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
KHORINIS | FORT AZGAN | LAS ASASYNÓW | ETLU | IRDORATH,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Smoczy Korzeń,,,,Goblinia Jagoda,,,,Trollest,,,,Szczaw Królewski
,,,,,,,,,,,,
W lewej odnodze jaskini pod Słonecznym Kręgiem,,,,Za drzewem obok jaszczura przy chatach Ragnara,,,,Przy drzewie na Polanie Trolli obok Farmy Onara,,,,Na półce skalnej pod Niclasem (Trzeba zeskoczyć w dół)
,,,,,,,,,,,,
W jaskini z Atramentorem na wykopaliskach Magów Wody,,,,Przy drzewie obok kopalni za obozem Dextera,,,,W leżu Czarnego Trolla,,,,"Na urwisku między bandytami na moście obok Akila, a Ragnarem"
,,,,,,,,,,,,
Przy ścianie na polanie nad farmą Akila,,,,Przy drzewie obok wodospadu na płaskowyżu Farmy Bengara,,,,"Za drzewem na półce skalnej, między wykopaliskami Magów Wody, a jeziorem",,,,Przed wejściem na zwodzony most do fortu (pomiędzy zombie bossem i mrocznym golemem)
,,,,,,,,,,,,
Na polanie ze zniszczoną wieżą nad Niclasem,,,,Na polanie z goblinami na Etlu,,,,"Na półce skalnej nad jaskinią Vino w lesie
w drodze do braci Trollec",,,,W jaskini z cieniostworami pod mostem na wykopaliska Magów Wody
,,,,,,,,,,,,
Przy murze miasta na wschód obok kretoszczura,,,,"Za drzewem na drodze do bandytów, za lasem z polowanie z Bartokiem",,,,Na polanie z Mrocznymi Zębaczami naprzeciw wejścia na wykopaliska Magów Wody,,,,Za latarnią Jacka
,,,,,,,,,,,,
W gnieździe polnych bestii,,,,"Przy drzewie między kryptą Inubisa, a polaną trolli",,,,"Przy trollu na nowych terenach, niedaleko obozu bandyty Hannibala",,,,"Za drzewem na końcu kotliny, po prawo od wschodniej bramy miasta, przy cieniostworze"
,,,,,,,,,,,,
"Obok szczurów i chrząszczy po lewo
od wschodniej bramy miasta
[Po rozmowie z Zurisem o Constantino]",,,,Na wysepce z topielcem Erola (4 rozdział),,,,Na górce z krwiopijcami w Forcie Azgan,,,,Przy trolu w górach obok Wieży Xardasa
,,,,,,,,,,,,
Przy drzewie na przełęczy do Górniczej Doliny,,,,"Wypada z goblina ""Rzeźnika""",,,,Za drzewem na ścieżce prowadzącej do plaży przy forcie Azgan,,,,Na końcu polany z trollami nad leżem Czarnego Trolla
,,,,,,,,,,,,
Za drzewem obok kopalni za obozem Dextera,,,,Daje nam Vino za przyniesienie mu pomyj z orka w lesie nieopodal,,,,"W Lesie Asasynów podczas zadania ""Wierni ludzie""",,,,Przy skale obok szkieletów za farmą Onara
,,,,,,,,,,,,
Przy ścianie obok zębaczy na płaskowyżu Farmy Bengara,,,,W Forcie Azgan na polanie ze ścierwojadami na lewo od wejścia,,,,"Pośród Trolli za Gromem 
(spawni się do zadania od Ragnara)",,,,"Przy ścianie przy drzewie między wykopaliskami, a polaną trolli"
,,,,,,,,,,,,
Za dzikami przy teleporcie do Lasu Asasynów,,,,Na górce z krwiopijcami w Forcie Azgan,,,,"Sprzedaje Zuris
(spawni się do uleczenia drzewa od Xardasa)",,,,"Przy kamiennym kręgu obok Lobarta
 (Tylko po rozmowie z Zurisem)"
,,,,,,,,,,,,
Drop z Grimgasha (2 rozdział),,,,W kotlinie na lewo od jaskini Osaira w Lesie Asasynów,,,,Słoneczny Aloes,,,,"Dostajemy od Lestera, za przyniesienie mu Mroku Północy"
,,,,,,,,,,,,
"Sprzedawcy:
Drugi rozdział:
Zuris (1 sztuka) Constantino/Lutero (2 sztuki) Fregyal (3 sztuki)
Trzeci rozdział:
Sagitta/Lutero/Constantino (2 sztuki) Fregyal (3 sztuki)
Czwarty rozdział:
Lutero/Zuris/Fregyal/Constantino (2 sztuki)
Szósty rozdział:
Milten (1 sztuka)",,,,"Sprzedawcy:
Pierwszy rozdział:
Sagitta/Fregyal/Zuris (1 jagoda)
Drugi rozdział:
Sagitta/Lutero (2 jagody) Constantino/Zuris (1 jagoda)
Trzeci rozdział:
Sagitta/Zuris (3 jagody) Lutero (2 jagody)
Czwarty rozdział:
Zuris/Lutero/Fregyal (2 jagody) Sagitta (3 jagody)",,,,Obok czarnego trolla,,,,"Sprzedawcy:
Pierwszy rozdział:
Sagitta (1 sztuka)
Drugi rozdział:
Salandril/Sagitta/Zuris (1 sztuka)
Trzeci rozdział:
Miguel/Constantino/Fregyal/Zuris (1 sztuka)
Czwarty rozdział:
Sagitta/Zuris/Constantino (1 sztuka)
Piąty rozdział:
Sagitta/Fregyal/Lutero (1 sztuka)
Szósty rozdział:
Vatras (2 sztuki) Milten (1 sztuka)"
,,,,,,,,,,,,
,,,,,,,,Sprzedaje Nigel po ukończeniu wątku kupców,,,,
,,,,,,,,,,,,
,,,,,,,,Sprzedaje Sara po ukończeniu wątku kupców,,,,
,,,,,,,,,,,,
,,,,,,,,Na łuku skalnym nad Gonzalesem w Lesie Asasynów,,,,
,,,,,,,,,,,,
,,,,,,,,Niedaleko wyjścia z kopalni z Lesie Asasynów,,,,
,,,,,,,,,,,,
,,,,,,,,"Za zadanie ""Kłopot Rayne'a"" w Forcie Azgan",,,,
,,,,,,,,,,,,
,,,,,,,,Na górce z krwiopijcami w Forcie Azgan,,,,Na Etlu na skałkach obok kaplicy
,,,,,,,,,,,,
Przy skale na polanie z cieniostworem w Forcie Azgan,,,,,,,,Na dużej polanie nad plażą w Forcie Azgan,,,,Sprzedaje Constantino po pokazaniu mu ziół na czeladnika (nie zabiera pokazanego szczawiu)
,,,,,,,,,,,,
Za drzewem na placu świąynnym w Lesie Asasynów,,,,,,,,"Za zadanie ""Obawy Sagitty"" (3 rozdział)",,,,Na cmentarzu obok Martwej Harpii (2 rozdział)
,,,,,,,,,,,,
Na Irdorath przed hersztem obok Pedro,,,,,,,,Za przyniesienie Isgarothowi wiadomości od Vatrasa (2 rozdział),,,,"Daje Constantino, po przyniesieniu mu receptury na Amun-Su (Tylko Strażnk Świątynny/Guru)"
,,,,,,,,,,,,
Na Irdorath za wieżą po prawej idąc od statku,,,,,,,,"Sprzedaje Baal Cyon, po zrobieniu magicznego eliksiru (Tylko Strażnik Świątynny/Guru)",,,,Za drzewem obok jaskini z goblinami w Forcie Azgan
,,,,,,,,,,,,
FARMA OSWALDA,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Smoczy Korzeń,,,,Goblinia Jagoda,,,,Trollest,,,,Szczaw Królewski
,,,,,,,,,,,,
Za farmą niedaleko zamkniętych drzwi do areny,,,,"Przy cmentarzu, na wzniesieniu",,,,Za jeziorkiem przy farmie na skałach na samej górze,,,,"Na górze w lesie za farmą, wsród zębaczy, niedaleko czarrnego trola"
,,,,,,,,,,,,
Przy grupce zębaczy blisko bossa cieniostwora przy ścianie,,,,W dziurze z goblinami niedaleko obozu myśliwego,,,,"Na górze w lesie za farmą, przy ścierwojadach, niedaleko czarrnego trola",,,,Do kupienia u Blizny po wygraniu 10 - finałowej walki na arenie
,,,,,,,,,,,,
Dropi z bossa cieniostwora,,,,"Przy ścianie z zębaczami i zwykłym cieniostworem, niedaleko bossa cieniostwora",,,,Obok czarnego trola,,,,
,,,,,,,,,,,,
W lesie będącym częścią areny w pobliżu dołu z kretoszczurami,,,,"Na górze w lesie za farmą z 2 goblinami magami, niedaleko czarnego trola",,,,,,,,
,,,,,,,,,,,,
Do kupienia u Blizny po wygraniu 8 walki na arenie,,,,Do kupienia u Blizny po wygraniu 7 walki na arenie,,,,,,,,
,,,,,,,,,,,,
ZACHODNIE WYBRZEŻE,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Smoczy Korzeń,,,,Goblinia Jagoda,,,,Trollest,,,,Szczaw Królewski
,,,,,,,,,,,,
