"Wartości na trybie SnC są obniżone o połowę. W przypadku gdy liczba jest nieparzysta to zaokrągla w górę.
Na trybie Nightmare, za bossy dające więcej niż 8PN, zawsze dostaniemy 8PN, a za bossy dające 5PN, zawsze dostaniemy 4PN",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Nazwa,Miejsce występowania,,,,,,,PN,,Nazwa,Miejsce występowania,,,,,,,PN
Khorinis,,,,,,,,,,Zachodnie Wybrzeże,,,,,,,,
Wściekłe Trolle,Polana z trollami na nowych terenach między Onarem a wykopaliskami,,,,,,,2+1,,Kapitan Ramar,Szkielet kapitan w statku pod mostem,,,,,,,1
Mięsożerca,"Kretoszczur między Gniazdem Polnych Bestii, a Chatą Erola",,,,,,,2,,Gran'Radash,"Wielki pełzacz w Kanionie Pełzaczy, do którego trafimy w trakcie misji",,,,,,,2
Zmora Farmera,"Polna Bestia w gnieździe po zadaniu ""Gniazdo Polnych Bestii""",,,,,,,1,,Przeklęty strażnik,Nieumarły w Opuszczonej Wieży przy Jaskini Kormaka,,,,,,,2
Rzeźnik,Goblin przed jaskinią z Próbą Ognia,,,,,,,1,,Pradawna królowa pełzaczy,"Wyjątkowa królowa pełzaczy, którą znajdziemy w trakcie robienia misji ""Exodus"" ",,,,,,,3
Szkielet Zabójca,"Szkielet w jaskini ""ze smoczą zgubą"" pomiędzy Grimbaldem, a Słonecznym Kręgiem",,,,,,,1,,Starożytny strażnik,Kamienny strażnik w Ruinach prowadzących na Równinę,,,,,,,1
Rybogłów,"Topielec na potrzeby zadania ""Śmierdząca Bestia Erola""",,,,,,,2,,Maji,Goblin szaman w jaskini na Równinie,,,,,,,2
Kamieniołap,Wilk przy Słonecznym Kręgu,,,,,,,1,,Leśne monstrum,Bulmog w jaskini na Równinie (Tej samej co Maji),,,,,,,1
Ungoliant,"Pająk obok Bractwa, pomiędzy Śmierdzącą Bestią, a tp do Masjafu",,,,,,,2,,Szaman jaszczuroludzi,Szaman jaszczuroludzi w Miejscu Rytuału na Równinie,,,,,,,3
Ur-Azog,Ork Szaman niedaleko bimbrowni Vino,,,,,,,1,,Jarkendar,,,,,,,,
Ogniodech,Ognisty Jaszczur przed jaskinią na wykopaliskach,,,,,,,1,,Kapitan Thatch,Szkielet po wykopaniu skarbu w ruinach za zniszczonym mostem obok Czarnego Trolla,,,,,,,2
Góra,Ochroniarz Dextera,,,,,,,2,,Skałoząb,"Aligator na wysepce przy jeziorze w kotlinie (Zadanie ""Aligator Jacka"")",,,,,,,2
Dimon,"Szczur obok bandyty Brzytwy, gryzie gdy go zaatakujemy",,,,,,,1,,Król Szczurów,Pustynny Szczur w świątyni ze szczurami,,,,,,,1
Ogar,Ochroniarz Dextera (Dodatkowi przeciwnicy),,,,,,,1,,Teneklyk,Warg w Zapomnianym Kanionie,,,,,,,1
