"Ważna informacja! Pamiętaj, że Ognik może pokazywać lokalizacje tabliczek i roślin, 
 jeśli zakupimy specjalną umiejętność w dialogu z nim (10 000 sztuk złota).
Umiejętność dostępna jest również za darmo po pokonaniu bossa Ahirona w Khorinis

Kliknięcie w opis lokalizacji rośliny zaprowadzi cię do
 screena miejsca oraz mapki (wymaga aktualizacji)",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
KHORINIS / LAS ASASYNÓW,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Tablica Wojownika (Siła),,,,Tablica Łowcy (Zręczność),,,,Tablica Kapłana (Mana),,,,Tablica Uzdrowiciela (HP)
,,,,,,,,,,,,
"Na polanie, obok polany z trollem, za Niclasem",,,,W namiocie na wykopaliskach magów wody,,,,Sprzedaje Lehmar,,,,Na kamiennym filarze obok teleportu do Ognistej Lokacji na wykopaliskach
,,,,,,,,,,,,
Na wysepce z topielcem Erola,,,,Przy drzewie w górach nad wieżą Xardasa,,,,Sprzedaje Lutero (3 rozdział),,,,Obok goblina Rzeźnika
,,,,,,,,,,,,
"Za jednym z drzew między farmą Sekoba, a jaskinią Sagitty",,,,Na półce skalnej z mrocznym zębaczem nad kaplicą Isgarotha,,,,"2X Zadanie ""Zaginieni ludzie"" (Tylko Mag Wody)",,,,Na półce skalnej nad wejściem do jaskini Próby Ognia
,,,,,,,,,,,,
Na wysepce pomiędzy dwoma wodospadami przy przełęczy,,,,Na wzgórzu z mrocznymi zebaczami naprzeciw wejścia na wykopaliska,,,,Leży na półce w bocznym pomieszczeniu w Lesie Asasynów,,,,Za namiotem Gor Hanisa nad mrocznym lasem
,,,,,,,,,,,,
W jaskini z teleportem obok Khorinis,,,,Przy pniaku obok wejścia do Lasu Asasynów,,,,Za kamiennym filarem obok nieczynnego teleportu na wykopaliskach magów wody,,,,Za lewym filarem w pomieszczeniu z goblinami na wykopaliskach
,,,,,,,,,,,,
Sprzedaje Lutero,,,,Na beczce na szczycie latarni Jacka,,,,Sprzedaje Lutero (2 rozdział),,,,Na dachu małej piramidy na wykopaliskach
,,,,,,,,,,,,
W na półce jaskini Osaira w Lesie Asasynów,,,,Za wejściem do podziemi wykopalisk Magów Wody,,,,Sprzedaje Allen (Tylko Zwiadowca) (4 rozdział),,,,Na stole alchemicznym przed portalem na wykopaliskach
,,,,,,,,,,,,
W miejscu do którego tepa nas w tajnym pomieszczeniu w Lesie Asasynów,,,,W pomieszczeniu z Nrozasem w Lesie Asasynów,,,,"Za pradawną królową pełzaczy
lokacja: Zachodnie wybrzeże",,,,Przy drzewie przy ścianie obok Słonecznego Kręgu
,,,,,,,,,,,,
Leży w finalnym pomieszczeniu Lasu Asasynów,,,,W jaskini Osaira w Lesie Asasynów,,,,Sprzedaje Lehmar,,,,"Nad urwiskiem obok Czarnego Trolla, przy wodospadzie"
,,,,,,,,,,,,
Na stole w świątyni w Lesie Asasynów,,,,Na dnie kopalni w Lesie Asasynów,,,,Sprzedaje Isgaroth,,,,"Za pniakiem, obok cieniostwora, w kotlinie na prawo od wschodniej bramy Khorins"
,,,,,,,,,,,,
-,,,,-,,,,-,,,,W małej piramidzie obok polany z wściekłymi trollami
,,,,,,,,,,,,
Tablica Szermierza (1H),,,,Tablica Włócznika (2H),,,,Tablica Łucznika (Łuk),,,,Tablica Kusznika (Kusza)
,,,,,,,,,,,,
Obok teleportu w podziemiach wykopalisk magów wody *,,,,W namiocie bandytów Fernando *,,,,W skrzyni w wieży bandytów obok Dextera *,,,,Za drzewem obok przesmyku pod obozem Dextera *
,,,,,,,,,,,,
,,,,Za budynkiem Klasztoru *,,,,,,,,Przy ścianie na drodze do obozu myśliwych od chaty Bustera *
,,,,,,,,,,,,
Tablica Wiedzy (Inteligencja),,,,,,Tablica Posłańca (Wytrzymałość),,,,,Stara Kamienna Tablica (+1 Many),
,,,,,,,,,,,,
,,,,,,,,,,,,
brak,,,,,,Sprzedaje Lutero,,,,,Przy drzewie na skałkach nad Wieżą Xardasa,
,,,,,,,,,,,,
,,,,,,U druida freygala na stole,,,,,"Na polanie z krwiopijcami, nad wysepką za rzeką, po drodze na wykopaliska",
,,,,,,,,,,,,
"W spalonej chacie, między jaskinią Sagity, a gospodą Orlana",,,,,,W ciałach bandytów obok farmy Akila (3 SZTUKI),,,,,W wozie obok bandytów Hannibala,
,,,,,,,,,,,,
Przy palisadzie na lewo od wejścia do obozu Bractwa,,,,,,Na polanie nad farmą Akila,,,,,"W wozie pomiędzy chatą Erola, a obozem myśliwych",
,,,,,,,,,,,,
W jaskini z cieniostworami pod mostem na wykopaliska,,,,,,Na skałkach wokół jeziora obok chatki Erola,,,,,W wieży Ahirona w zniszczonej beczce,
,,,,,,,,,,,,
FARMA OSWALDA,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Tablica Wojownika (Siła),,,,Tablica Łowcy (Zręczność),,,,Tablica Kapłana (Mana),,,,Tablica Uzdrowiciela (HP)
,,,,,,,,,,,,
Za legowiskiem bossa cieniostwora,,,,W wieży maga w lesie blisko bossa cieniostwora,,,,W karczmie na farmie,,,,Za farmą niedaleko zamkniętych drzwi do areny
,,,,,,,,,,,,
Tablica Szermierza (1H),,,,Tablica Włócznika (2H),,,,Tablica Łucznika (Łuk),,,,Tablica Kusznika (Kusza)
,,,,,,,,,,,,
Obok czarnego trola,,,,Na wzniesieniu z goblinami niedaleko cmentarza,,,,W lesie będącym częścią areny w dole z kretoszczurami,,,,"Blisko bossa dzika w lesie niedaleko bossa cieniostwora, przy zwłokach myśliwego"
,,,,,,,,,,,,
Tablica Wiedzy (Inteligencja),,,,,,Tablica Posłańca (Wytrzymałość),,,,,Stara Kamienna Tablica (+1 Many),
,,,,,,,,,,,,
,,,,,,,,,,,,
"Na arenie, blisko kamienia teleportacyjnego",,,,,,"Za areną, idziemy tam z Blizną konspirować przeciwko Trigo",,,,,brak,
,,,,,,,,,,,,
FORT AZGAN,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Tablica Wojownika (Siła),,,,Tablica Łowcy (Zręczność),,,,Tablica Kapłana (Mana),,,,Tablica Uzdrowiciela (HP)
,,,,,,,,,,,,
Obok magazyniera w forcie,,,,"W forcie paladynów, w jednym z budynków",,,,Za skałką na plaży z Rączką,,,,W skrzyni na górze z goblinami w Forcie Azgan
,,,,,,,,,,,,
W wieży przy bramie,,,,Na polanie ze ścierwojadami na prawo od wyjścia z fortu,,,,Na plaży przy ścianie od strony lasu obok topielca,,,,Na górce z krwiopijcami w Forcie Azgan
,,,,,,,,,,,,
W skrzyni w magazynie paladynów,,,,W skrzyni w jaskini z goblinami,,,,Obok cieniostwora,,,,
,,,,,,,,,,,,
Na polanie z trollem na zboczu góry w Forcie Azgan,,,,Na górce z krwiopijcami w Forcie Azgan,,,,Nad urwiskiem w dół po lewej stronie wychodząc z fortu,,,,
,,,,,,,,,,,,
Tablica Szermierza (1H),,,,Tablica Włócznika (2H),,,,Tablica Łucznika (Łuk),,,,Tablica Kusznika (Kusza)
,,,,,,,,,,,,
brak,,,,W skrzyni w magazynie paladynów,,,,brak,,,,W skrzyni w magazynie paladynów
,,,,,,,,,,,,
Tablica Wiedzy (Inteligencja),,,,,,Tablica Posłańca (Wytrzymałość),,,,,Stara Kamienna Tablica (+1 Many),
,,,,,,,,,,,,
,,,,,,,,,,,,
W skrzyni w magazynie paladynów,,,,,,brak,,,,,brak,
,,,,,,,,,,,,
JARKENDAR,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Tablica Wojownika (Siła),,,,Tablica Łowcy (Zręczność),,,,Tablica Kapłana (Mana),,,,Tablica Uzdrowiciela (HP)
,,,,,,,,,,,,
Nad przepaścią niedaleko Eremity,,,,Obok bossa ogarów w kanionie,,,,Za jednym z kamiennych strażników w Świątyni Adanosa,,,,"Między wyjściem z budynku z portalem, a budynkiem magów po lewo na wykopaliskach"
,,,,,,,,,,,,
W kopalni po prawo w kanionie,,,,Po lewo od wejścia do kopalni obok teleportu na Pustynie Adanosa,,,,W miejscu w którym stoi demon Keyron,,,,Za królową pełzaczy w Zapomnianym Kanionie
,,,,,,,,,,,,
