"Nauczyciele atrybutów podstawowych
(warto uczyć się tylko tyle by założyć ekwipunek)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Siła (Zawsze 1 PN:1 Siły)
[Max próg: 1500]",,,,"Zręczność (Zawsze 1 PN:1 Zręcz)
[Max próg: 1500]",,,,"Mana (Zawsze 1 PN:2 Many)
[Max próg: 1500]",,,,Życie (1 PN:10 HP) (Po wyuczeniu się 2000HP koszt wzrasta do 2 PN:10 HP) [Max próg: 10.000],,,,,"Wytrzymałość
pierwsze 20 pkt 1PN : 1 wytrz
potem 2PN : 1 wytrz",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Najlepszy ekwipunek wymaga 600-650 siły,,,,Najlepszy ekwipunek wymaga 600-650 zręki,,,,Najlepszy ekwipunek wymaga 1200 many,,,,"Ile wlezie, HP nigdy nie za mało",,,,,"Wydać max. 20PN, a potem 2-3 dary",,,,,,
Nauczyciel [max],,Warunek,,Nauczyciel [max],,Warunek,,Nauczyciel [max],,Warunek,,Nauczyciel [max],,Warunek,,,Nauczyciel [max],,,Warunek,,,
Harad [450],,Tylko swojego czeladnika,,Ruga,,Tylko straż,,Gallahad,,Po wybraniu nauki magii,,Cavalorn,,---,,,Cavalorn [1000],,,---,,,
Brandon [450],,Napój dla Brandona,,Brandon [450],,Napój dla Brandona,,Parlan,,---,,Alrik,,Po pokonaniu go w walce,,,Wulfgar [1000],,,Każdy poza najemnikami,,,
Lares [450],,---,,Lares [450],,---,,Vatras,,---,,Wulfgar,,Każdy poza najemnikami,,,Cord [1000],,,---,,,
Mortis [450],,Tylko straż miejska,,Lucia [450],,---,,Albrecht  [750],,Tylko paladynów,,Torlof,,Tylko najemników,,,Gor na Kosh [1000],,,Tylko SŚ,,,
Carl [750],,Po zapłaceniu mu,,Cassia [1500],,Członek gildii złodziei,,Baal Cadar,,Tylko guru,,Gor na Kosh,,Tylko SŚ,,,Haniar [1000],,,Podczas wątku Masjafu,,,
Erol [1500],,Po misji z tabliczkami,,Nix [1500],,Członek obozu myśliwych,,Gor Na Toth,,Tylko SŚ,,Orkowi Szamani,,Tylko Szamanów,,,Viland [1000],,,Tylko łowcę demonów,,,
Torlof [1500],,Tylko najemników,,Torlof [750],,Tylko najemników,,Merdarion,,Tylko magów wody,,Mroczny Mentor,,Tylko Mroczny Rycerz,,,Lares [1000],,,---,,,
Gor na Kosh,,Tylko SŚ,,Gor na Kosh,,Tylko SŚ,,Pyrokar,,Tylko magów ognia,,Lee,,Na Irdorath,,,---,,,---,,,
Emnol [5000],,W Dolinie Cieni,,Noehfelden [5000],,W Dolinie CIeni,,Xardas,,Tylko mrocznych magów,,Viland [1000],,Tylko łowcę demonów,,,---,,,---,,,
Ingmar [5000],,Tylko paladynów,,Diego [5000],,---,,Kreol,,Tylko mrocznych magów,,---,,---,,,---,,,---,,,
Viland,,Tylko łowcę demonów,,---,,---,,Viland,,Tylko łowcę demonów,,---,,---,,,---,,,---,,,
"Nauczyciele i progi posługiwania się bronią
(by osiągnąć 100% uczymy się do około 70%, reszta z bonusów)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Broń jednoręczna,,,,,,Broń dwuręczna,,,,,Łuk,,,,,Kusza,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"1-30% 1PN:1%
31-45% 2PN:1%
46-60% 3PN:1%
61-90% 4PN:1%
91%-100% 5PN:1%",,,,,,"1-30% 1PN:1%
31-45% 2PN:1%
46-60% 3PN:1%
61-90% 4PN:1%
91%-100% 5PN:1%",,,,,"1-30% 1PN:1%
31-45% 2PN:1%
46-60% 3PN:1%
61-90% 4PN:1%
91%-100% 5PN:1%",,,,,"1-30% 1PN:1%
31-45% 2PN:1%
46-60% 3PN:1%
61-90% 4PN:1%
91%-100% 5PN:1%",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
