"Aktualizacja spisu zostaje wznowiona z dniem 28.12.2024

W razie niezgodności lub pytań, zapraszam na discordowy kanał #nb-dyskusja
Stay tuned ;)",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
PRZEDMIOTY,,,,,,,,,INNE,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Zbroje Gildyjne,,,Pasy Siła,,,Hełmy Siła,,,Użyteczne mapki,,,,
,,,Pasy Zręczność,,,Hełmy Zręczność,,,Rośliny,,,,
Zbroje neutralne,,,Pasy Mana,,,Hełmy Mana,,,Eliksiry,,,,
,,,Pasy neutralne,,,Hełmy neutralne,,,Tabliczki,,,,
Szpady ,,Włócznie,,Kordelasy,,,Duale,,Demoniczne Tabliczki,,,,
Bronie jednoręczne Siła,,,Tarcze,,,Bronie dwuręczne Siła,,,Spis bossów,,,,
Łuki,,,Trofea do noszenia,,,Kusze,,,Bonusy,,,,
Kostury i miecze magiczne,,,,Biżuteria,,,,,Złoża rud,,,,
UMIEJĘTNOŚCI,,,,,,,,,Ognik i jego ulepszenia,,,,
,,,,,,,,,,,,,
,,,,,,,,,Kody,,,,
,,,,,,,,,,,,,
Regeneracje/Odporności/Języki/Magia/Kręgi,,,,,,,,,Ulepszenia i Pieczęcie,,,,"Szczególne podziękowania za współpracę przy tworzeniu arkusza dla:
Flakes
Buzka555
Washion
Dawinio
Qlaczek
Licoya"
Władanie tarczą,,,Złodziejstwo,,,Retoryka,,,Teleporty,,,,
Nauka Statystyk,,,Myślistwo,,,Władanie bronią,,,Kamienie szlachetne,,,,
Kowalstwo/Górnictwo,,,Czary ogólne,,,Alchemia,,,Ważne zwoje,,,,
,,,,,,,,,Dary,,,,
GILDIE GŁÓWNE,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Mag Wody,,,Mag Ognia,,,Guru,,,Nekromanta,,,,
Czarnoksiężnik,,,Mroczny Rycerz,,,Przywoływacz,,,Łowca demonów,,,,
Strażnik Świątynny,,,Najemnik,,,Zwiadowca,,,Paladyn,,,,
Potępiony,,,,,,,,,,,,,
KLASY POBOCZNE / PODGILDIE,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Szaman,,,Druid,,,Mistrz trucizn,,,,,,,
