NAZWA,,,,WYMAGANIA,,CIĘTE,OBUCH,KŁUTE,OGIEŃ,MAGIA,INNE,,OPIS
,,,,,,,,,,,,,
"UBRANIA GILDYJNE ZNAJDUJĄ SIĘ W SWOICH ARKUSZACH, KLIKNIJ NA LINK PONIŻEJ",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
STRAŻNIK / PALADYN,,,,,,,,,MAG OGNIA,,,,
,,,,,,,,,,,,,
NAJEMNIK / ŁOWCA SMOKÓW,,,,,,,,,MAG WODY,,,,
,,,,,,,,,,,,,
STRAŻNIK ŚWIĄTYNNY,,,,,,,,,GURU,,,,
,,,,,,,,,,,,,
MROCZNY RYCERZ,,,,,,,,,NEKROMANTA,,,,
,,,,,,,,,,,,,
ŁOWCA DEMONÓW,,,,,,,,,CZARNOKSIĘŻNIK,,,,
,,,,,,,,,,,,,
ZWIADOWCA,,,,,,,,,PRZYWOŁYWACZ,,,,
,,,,,,,,,,,,,
SZAMAN,,,,,,,,,DRUID,,,,
,,,,,,,,,,,,,
"UBRANIA NEUTRALNE, DOSTĘPNE DLA KAŻDEJ GILDII:",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
GILDIA ZŁODZIEI W KHORINIS,,,,,,,,,,,,,
Pancerz kieszonkowca,,,,Zręczność 35 Waga 0,,20,10,15,5,5,Unik 10%,,Sprzedaje Jasper
Przekuty pancerz kieszonkowca,,,,Zręczność 40 Waga 0,,30,20,20,5,5,Unik 10%,,Podstawowe przekuwanie (Carl / kowale gildyjni)
Stary pancerz cienia,,,,"Waga 1
Wytrzymałość 50 ",,30,30,15,0,0,"Unik 10% upadek 0,5",,"Skrzynia Rączki w kanałach, klucz daje Jasper"
Przekuty stary pancerz cienia,,,,"Waga 1
Wytrzymałość 50 ",,45,45,20,5,0,"Unik 10% upadek 0,5",,Podstawowe przekuwanie (Carl / kowale gildyjni)
Pancerz złodzieja,,,,Zręczność 50 Waga 0,,40,20,10,5,5,Unik 10%,,Sprzedaje Jasper (2R lub 1R za wysoką reputację za zadania) 
Przekuty pancerz złodzieja,,,,Zręczność 60 Waga 0,,60,30,30,5,5,Unik 10%,,Podstawowe przekuwanie (Carl / kowale gildyjni)
Pancerz rabusia,,,,"Zręczność 110 Waga 1
Wytrzymałość 100",,70,50,30,10,5,Unik 10%,,Sprzedaje Jasper (2R Brak wymogu reputacji)
