ZŁOŻA ŻELAZA,,,,,,ZŁOŻA ZŁOTA
,,,,,,
KHORINIS,,,,,,KHORINIS
1.W jaskini z bandytą Brzytwą (za lasem na polowaniu z Bartokiem),,,,,,1-3. W ukrytej kopalni przy jaskini obok miasta
2.W jaskini z ogrem w kotlinie po prawo od wschodniej bramy,,,,,,FARMA OSWALDA
3.W jaskini z bandytami po lewo od wschodniej bramy,,,,,,"W przejściu pomiędzy farmą, a areną. Idziemy tam z Blizną"
4.W jaskini z bandytą Faarhartem (Ta co wyżej),,,,,,JARKENDAR
5.W jaskini pod mostem na drodze do Magów Wody,,,,,,1-19. W kopalni u bandytów
6.W jaskini z goblinami dla Grega,,,,,,KOPALNIA NA PRZEŁĘCZY
7. W jaskini z bandytami Hakona ,,,,,,1-17. Wewnątrz kopalni
8.W gnieździe polnych bestii,,,,,,OPUSZCZONA KOPALNIA (GD)
9-12.W kopalni w obozie Dextera,,,,,,1-10. Lewa odnoga kopalni
13-16.W kopalni z nieumarłymi na drodze do bandyty Hannibala,,,,,,ZŁOŻA MAGICZNEJ RUDY
17. W ukrytej kopalni przy jaskini obok miasta,,,,,,
18. W nowej jaskini obok gniazda polnych bestii,,,,,,KHORINIS
19. Przy cavalornie obok wieży Xardasa,,,,,,1-3.W kopalni w obozie Dextera
ZACHODNIE WYBRZEŻE,,,,,,JARKENDAR
1. W jaskini druida Kormaka,,,,,,1.W kanionie w jaskini ze skarbem Francisa
GÓRNICZA DOLINA,,,,,,2.W kanionie w jaskini obok przejścia na Pustynie Adanosa
1.W kopalni prowadzącej do Kreola,,,,,,3. W Zapomnianym Kanionie obok Królowej Pełzaczy
2.W jaskini z pająkami przy drodze na bagna,,,,,,4. W Zapomnianym Kanionie w dużej jaskini
3.W jaskini z bossem goblinów przy drodze na bagna,,,,,,ZACHODNIE WYBRZEŻE
4.W lewej odnodze kopalni z Grimesem,,,,,,"1-2. W jaskini z królową pełzaczy, do której idziemy z piratami"
5.W jaskini z kością Alepha obok chaty Cavalorna,,,,,,GÓRNICZA DOLINA
"6.W jaskini z ciałem Olava, niedaleko Hosh-Paka",,,,,,1-3. Kopalnia z Grimesem
"7.W jaskini z Bullitem, pod najemnikami orków",,,,,,4-6. W kotle Wolnej Kopalni
8.W jaskini obok krypty Angara,,,,,,7. Kopalnia SIlvestra
9.W jaskini za mostem przy drodze wzdłuż palisady,,,,,,8-11. Kopalnia Fajetha
10.W jamie z pająkami przy Starej Kopalni,,,,,,LODOWE GÓRY ORKÓW
"11.W jaskini z ogrem między Kryptą Angara, a Lodowym Biomem",,,,,,1-10. Kopalnia przy wejściu
"12-13.W kopalni między morzem, a Starą Kopalnia",,,,,,KOPALNIA ORKÓW
14.W jaskini z paczką ziela przed wejściem na Lodowy Biom,,,,,,1-9 Dolny poziom kopalni
15.W kotle Wolnej Kopalni,,,,,,STARA KOPALNIA
16. W kopalni Fajetha,,,,,,1-25 Końcowa sala kopalni
17. Obok Marcosa,,,,,,26-28 Na dole środka kopalni
18. Przed bramą Starej Kopalni,,,,,,29-41 Szyb kopalni i górne odnogi
19. W końcowej sali Starej Kopalni,,,,,,
20. W dolnej odnodze z pełzaczami w Starej Kopalni,,,,,,
21-24 W szybie kopalni/przy rusztowaniach,,,,,,
KOPALNIA ORKÓW,,,,,,
1-28. Górny poziom kopalni,,,,,,
LAS ASASYNÓW,,,,,,
1-2. Jaskinia przed wejściem do kopalni,,,,,,
3-6. Lewa odnoga przed wyjściem z kopalni do Lasu,,,,,,
