"Werte im SnC-Modus sind um die Hälfte reduziert. Bei ungeraden Zahlen wird aufgerundet.
Im Nightmare-Modus erhalten wir für Bosse, die mehr als 8EP geben, immer 8EP, und für Bosse, die 5EP geben, immer 4EP",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Name,Fundort,,,,,,,EP,,Name,Fundort,,,,,,,EP
Khorinis,,,,,,,,,,Westküste,,,,,,,,
Wütende Trolle,Trolllichtung auf den neuen Gebieten zwischen Onar und den Ausgrabungen,,,,,,,2+1,,Kapitän Ramar,Skelett-Kapitän im Schiff unter der Brücke,,,,,,,1
Fleischfresser,"Maulwurfsratte zwischen dem Nest der Feldbestien und Erols Hütte",,,,,,,2,,Gran'Radash,"Großer Kriecher in der Kriecherschlucht, den wir während der Mission antreffen",,,,,,,2
Alptraum des Bauern,"Feldbestie im Nest nach der Quest ""Nest der Feldbestien""",,,,,,,1,,Verfluchter Wächter,Untoter im Verlassenen Turm bei Kormaks Höhle,,,,,,,2
Schlächter,Goblin vor der Höhle mit der Feuerprobe,,,,,,,1,,Uralte Kriecherköngin,"Einzigartige Kriecherköngin, die wir während der Mission ""Exodus"" finden",,,,,,,3
Skelett-Killer,"Skelett in der Höhle ""mit Drachenverderbnis"" zwischen Grimbald und dem Sonnenkreis",,,,,,,1,,Uralter Wächter,Steinwächter in den Ruinen, die zur Ebene führen,,,,,,,1
Fischkopf,"Sumpfhai für die Quest ""Erols Stinkbestie""",,,,,,,2,,Maji,Goblin-Schamane in der Höhle auf der Ebene,,,,,,,2
Steinbeißer,Wolf beim Sonnenkreis,,,,,,,1,,Waldmonster,Bulmog in der Höhle auf der Ebene (derselben wie Maji),,,,,,,1
Ungoliant,"Spinne neben der Bruderschaft, zwischen der Stinkbestie und dem Teleport nach Masyaf",,,,,,,2,,Echsenmenschen-Schamane,Echsenmenschen-Schamane am Ritualplatz auf der Ebene,,,,,,,3
Ur-Azog,Ork-Schamane nahe Vinos Brennerei,,,,,,,1,,Jarkendar,,,,,,,,
Feueratem,Feuerechse vor der Höhle bei den Ausgrabungen,,,,,,,1,,Kapitän Thatch,Skelett nach dem Ausgraben des Schatzes in den Ruinen hinter der zerstörten Brücke neben dem Schwarzen Troll,,,,,,,2
Berg,Dexters Leibwächter,,,,,,,2,,Felszahn,"Alligator auf der Insel am See im Tal (Quest ""Jacks Alligator"")",,,,,,,2
Dimon,"Ratte neben dem Banditen Klinge, beißt wenn wir ihn angreifen",,,,,,,1,,Rattenkönig,Wüstenratte im Rattentempel,,,,,,,1
Bluthund,Dexters Leibwächter (Zusätzliche Gegner),,,,,,,1,,Teneklyk,Warg in der Vergessenen Schlucht,,,,,,,1
Dunkler Golem,"Golem vor dem Necronomicon-Turm
(Getötet durch Verwendung der Heiligen Flamme neben ihm)",,,,,,,1,,Far-Nag,Ork-Schamane vor der Bibliothek in der Schlucht,,,,,,,2
Karthus,Wütender Keiler vor Fregyals Höhle,,,,,,,2,,Gaalar,Bluthund am Eingang zur Höhle, die Schlucht und Sumpf verbindet,,,,,,,2
Mirbl,Goblin in Vinos Brennerei,,,,,,,1,,Agelidas,Spinne in der Höhle, die Schlucht und Sumpf verbindet,,,,,,,1
Onyx,Warg beim Schrein auf den neuen Gebieten hinter Onar,,,,,,,1,,Aramorph,Spinne in der Höhle in der Vergessenen Schlucht,,,,,,,1
Zipperius,Dämon, der nach dem Töten von 20 Kaninchen erscheint,,,,,,,1,,Garantula,"Spinne im Heiler-Tempel, nach dem Öffnen der Truhe",,,,,,,1
Kriecherköngin,Höhle bei den Ausgrabungen der Wassermagier,,,,,,,2,,Klan-Krieger,Letzter Goblin im Tempel beim Schwarzen Troll,,,,,,,2
Antramentor,Golem in der Höhle bei den Ausgrabungen der Wassermagier,,,,,,,2,,Zestoblum,Sumpfdrohne bei den Steinsäulen nahe Juans Höhle,,,,,,,1
Uzdog/Utrog/Ubrog,3 Schwarze Trolle auf dem Plateau neben dem Sonnenkreis,,,,,,,3,,"Königin der Feld-
kriecher","Erscheint während der Mission ""Suche"" nahe dem Heilerhaus",,,,,,,1
Yebak,Riesenkäfer in der Höhle mit Sumpfhaien neben dem See hinter Onars Farm,,,,,,,1,,Aasfresser,Krieger-Kriecher im Kriechernest in der Banditenmine,,,,,,,2
Ahiron,Untoter Magier im Turm auf den neuen Gebieten neben Xardas,,,,,,,4,,Bloodwyn,"Bandit, erscheint nach dem Töten der Kriecher und Gespräch mit Garaz",,,,,,,2
Jorian,"Zombie in der Festung über dem Steinstrand
und neben dem Necronomicon-Turm",,,,,,,1,,Keyron,Dämon im Adanos-Tempel,,,,,,,2
"Trakras, Geisterschatten","Geisterschatten in Lesters Tal (2. Kap. Quest ""Nachtjäger"")",,,,,,,2,,Gayde,Steinpanther vor dem Teleport zu Ashtar,,,,,,,2
Riesenkeiler,"Keiler bei den Stufen zum Sonnenkreis (2. Kap. Quest ""Barems Keiler"")",,,,,,,1,,Drake,Skelett in der Höhle am Strand neben den Piraten,,,,,,,3
Grimgash,Goblin in der Höhle neben dem See bei Pepe (2. Kap.),,,,,,,2,,Shaliya,"Spinne in der Schlucht, die wir mit Jack auf der Jagd passieren",,,,,,,1
Daron,"Kampf auf dem Friedhof (2. Kap. Quest ""Nekromant in Khorinis"")",,,,,,,1,,Uralter Steinwächter,Nach dem Lesen der geladenen Tafel im Adanos-Tempel,,,,,,,1
Itu'Zeld,"Schwarzmagier (3. Kap. Quest ""Dunkles Netz"")",,,,,,,3,,Aishar,"Geisterschatten in der Gelehrtenbibliothek
(nach Gespräch mit Ashtar, nach Töten des Steinwächters)",,,,,,,2
Yasuo,Erscheint am Pass zu Beginn des 3. Kapitels,,,,,,,1,,Kriecherköngin,"1. In der Vergessenen Schlucht nach rechts
2. In der Vergessenen Schlucht geradeaus",,,,,,,2x2
Königlicher Beißer,"Dunkler Beißer bei der Pyramide bei den Ausgrabungen (3. Kap. Quest ""Jägerglück"")",,,,,,,1,,S'enyak,"Erzdämon, beschworen nach Kruks Tod (Quest ""Beliars Klaue"")",,,,,,,4
Lord Seng,Erscheint im 3. Kap. in der Höhle mit Wulfgars Notiz (Drachenverderbnis im Original G2),,,,,,,3,,S'enyaks Seele,Seele beschworen nach ihrer Einschließung mit Mor Ultar,,,,,,,3
Fangarh,Ork-Anführer in der Höhle mit dem Banditen Klinge (4. Kap.),,,,,,,1,,Var-Kaz,"Ork-Schamane in einem der Tempel (Quest ""Orks im Tal"")",,,,,,,1
"He'Xen, Dämonischer Wächter","Xardas' Turm im Obergeschoss (5. Kap. Quest ""Rückkehr zum Turm"")",,,,,,,2,,Var-Shat,"Ork-Schamane in einem der Tempel (Quest ""Orks im Tal"")",,,,,,,1
Dunkler Mentor,"Kann getötet werden, wenn wir ihn mit Regilions Notiz respawnen [nicht als Dunkler Ritter]",,,,,,,2,,Var-Khash,"Ork-Schamane in einem der Tempel (Quest ""Orks im Tal"")",,,,,,,1
Ilkruz,Untoter Magier in den Klostergewölben (5. Kap.),,,,,,,2,,Var-Hut,"Ork-Schamane in einem der Tempel (Quest ""Orks im Tal"")",,,,,,,1
Lord Ulzar,"Grabmal bei Orlans Taverne (5. Kap. Quest ""Dunkler Orden"")",,,,,,,3,,Var-Nash,"Ork-Schamane in einem der Tempel (Quest ""Orks im Tal"")",,,,,,,1
Lord Mirrat,"Grabmal beim Sonnenkreis (5. Kap. Quest ""Dunkler Orden"")",,,,,,,3,,Ur-Catan,"Ork-Häuptling im Adanos-Tempel (Quest ""Orks im Tal"")",,,,,,,3
Lord Inubis,"Grabmal bei Onars Farm (5. Kap. Quest ""Dunkler Orden"")",,,,,,,3,,Minental,,,,,,,,
Lord Ginnok,"Grabmal im Tal bei der Stadt (5. Kap. Quest ""Dunkler Orden"")",,,,,,,3,,Anansay,Spinne im linken Zweig des unterirdischen Durchgangs zur Burg,,,,,,,2
Nergals Seele,"Unterbrechung von Xardas' Ritual (Quest ""Necronomicon"")",,,,,,,1,,Knochenbeißer,Beißer bei der Mine mit Grimes,,,,,,,2
Nergal,Turm hinter Groms Trollen (Schlüssel in versteckter Truhe bei Kreol),,,,,,,2,,Achat,Eiswolf vor dem Eisbiom,,,,,,,1
Slokers,Boss-Aasfresser aus der Jäger-Quest,,,,,,,1,,Oktogor,Eisgolem rechts vom Eingang zum Eisbiom,,,,,,,2
Oswalds Farm,,,,,,,,,,Kriecherköngin,In Silvesters Mine,,,,,,,2
Gralli,Großer Keiler im Wald hinter der Farm,,,,,,,1,,Opal,"Eiswolf in der Tiefe des Eisbioms, zwischen den Bäumen",,,,,,,1
Dunkler Schatten,Hauptboss der Oswald-Farm-Story. Wir töten ihn mit Narbe,,,,,,,1,,Dicker,Banditenhäuptling nahe Cavalorns Häuschen,,,,,,,2
Draufgänger Sergo,Erster Gegner in der Arena,,,,,,,1,,Rudelführer,Beißer bei Fajeths Mine (ERSCHEINT NUR NACH GESPRÄCH MIT BILGOT),,,,,,,2
Speerträger Ibrahim,Zweiter Gegner in der Arena,,,,,,,1,,Teamruk,Dämon im Geheimraum der Steinfestung,,,,,,,1
Messerstecher Loker,Dritter Gegner in der Arena,,,,,,,2,,Malbar,Schattenlord, der nach Öffnen seiner Truhe in der Steinfestung erscheint,,,,,,,3
Krieger Colder,Vierter Gegner in der Arena,,,,,,,2,,Frolok,Echsenmenschen-Häuptling vor dem Sumpfdrachen,,,,,,,1
Bogenschütze Nils,Fünfter Gegner in der Arena,,,,,,,2,,Glorok,Echsenmenschen-Häuptling vor dem Steindrachen,,,,,,,1
Giftmeister Wolfgang,Sechster Gegner in der Arena,,,,,,,2,,Lorok,Echsenmenschen-Häuptling vor dem Feuerdrachen,,,,,,,1
Magier Idrian,Siebter Gegner in der Arena,,,,,,,2,,Morok,Echsenmenschen-Häuptling beim Haus des Reisfürsten,,,,,,,1
Steinmetz Kald,Achter Gegner in der Arena,,,,,,,2,,Vetrinus,Keiler vor der Holzbrücke zum Gestaltwandler-Kloster,,,,,,,1
Nekromant Terokar,Neunter Gegner in der Arena,,,,,,,2,,Rush-Gar,Kapitän in der Kajüte des Ork-Drakkars,,,,,,,2
Jissel Morgendämmerung,Zehnter Gegner in der Arena,,,,,,,3,,Resheba,Schwarzer Goblin bei der Höhle neben dem Troll auf dem Weg zum Sumpf,,,,,,,1
Fort Azgan,,,,,,,,,,Triax,Untoter Tempelwächter vor dem Sumpftempel,,,,,,,1
Ko'Mar,Blutsauger auf dem Berggipfel in der Region,,,,,,,1,,Actameron,Sucher im Sumpftempel,,,,,,,2
Adanos-Wüste,,,,,,,,,,Mor'Bar,"Dämon im Sumpf (Quest ""Dunkle Rituale"")",,,,,,,3
Quahodron,"Befindet sich dort wo Gazkul (Quest ""Rache der Uralten"")
gelöschte Quests",,,,,,,3,,Utur,"Troll auf dem Plateau über dem Sumpftempel (Quest ""Ungebetener Gast"")",,,,,,,2
Amul'Sah,Uralter Wächter vor dem Sanktuarium der Wahrheit,,,,,,,2,,Flussschlange,Im Sumpf beim Podest mit dem Trank,,,,,,,1
Amul'Rough,Uralter Wächter vor dem Sanktuarium der Wahrheit,,,,,,,2,,Hosh-Pak,Ork-Schamane auf der Anhöhe nahe der Burg,,,,,,,2
Ishar'Arh,Uralter Wächter auf dem Tempelplatz bei der kleinen Pyramide,,,,,,,2,,Ruorch,Ork, der den Eingang zur Orkstadt bewacht,,,,,,,1
Sak'Shar,Uralter Wächter in der Oase nahe dem Drachenei,,,,,,,2,,Grokh,Ork, der den Eingang zur Orkstadt bewacht,,,,,,,1
Gazkul,Goblin auf Schnapper bei der großen roten Klippe,,,,,,,2,,Grillock,"Ork auf dem Handelsplatz (Quest ""Diegos Gold"")",,,,,,,1
Im'Arah,Untoter Magier in seinem Turm im östlichen Teil der Wüste,,,,,,,5,,Ruykyava,"Harpie in der Steinfestung (Quest ""Herz der Harpienkönigin"")",,,,,,,1
Ishi'Kurat,Uralter Stachelrücken in den kleinen Ruinen nahe dem Brunnen,,,,,,,2,,Pandrodor,Sumpfdrache im Sumpf des Bruderschaftslagers,,,,,,,8
Shakzi,Goblin-Schamane im Goblindorf,,,,,,,1,,Pedrakhan,Steindrache über der Steinfestung,,,,,,,7
Nurog,Schwarzer Troll beim Kreis des Lebens,,,,,,,3,,Feomathar,"Feuerdrache in den Bergen zwischen Pass und Grimes' Mine",,,,,,,8
Magolemus,Feuergolem im Rahmen der Quests im Sanktuarium der Wahrheit,,,,,,,1,,Finkreght,Eisdrache im Eisbiom,,,,,,,7
Amu'Has oder Malsur,Skelett-Krieger / Magier im Tempel der Tränen,,,,,,,3,,Lord Kaddar,Schattenlord, der nach dem Lesen des letzten Chromanin erscheint,,,,,,,3
Meliax,Uralter Wächter im Tempel der Tränen,,,,,,,2,,Orte im Minental,,,,,,,,
Araks,Steinwächter am Ende des Tempels der Tränen,,,,,,,2,,Farrok,ORKSTADT Bewacht den Eingang zu Ur-Thrall,,,,,,,1
Adanar,Drache vor dem Er'Hazira-Tempel (Kann mit dem Kreuz der Elemente getötet werden),,,,,,,3,,Hush-Nar,ORKSTADT Ork-Schamane,,,,,,,2
Yog'Sothoth,"Wüstenschlange zwischen Im'Arahs Turm und dem Sanktuarium der Wahrheit",,,,,,,2,,Ur-Thrall,ORKSTADT Ork-Häuptling,,,,,,,4
Kajma,"Oase rechts vom Eingang zur Region, vor Im'Arah",,,,,,,2,,Uralter Wächter,VERLASSENE MINE. Ganz unten nahe dem Erzdämon,,,,,,,1
Kruks Alptraum,,,,,,,,,,Trak'Tor,VERLASSENE MINE. Wächter der Wassersphäre,,,,,,,3
Margot,Echsenmensch (Erster Boss im Alptraum),,,,,,,1,,Uralter Wächter,VERSUNKENER XARDAS-TURM. Steht in der Mitte,,,,,,,1
Argulin,Dunkler Paladin auf dem Friedhof,,,,,,,3,,Val'Zar,VERSUNKENER XARDAS-TURM. Wächter der Dunkelheitssphäre,,,,,,,3
Akascha,Schildträger nach Gespräch mit Baldar,,,,,,,3,,Shemron,"VERSUNKENER XARDAS-TURM. Dämon, erscheint nach Aufheben der Sphäre",,,,,,,3
Liker,Dunkler Wächter auf dem kleinen Friedhof hinter dem Felsen,,,,,,,1,,Uralter Wächter,"ALTE MINE. Ganz unten, nahe der Sphäre",,,,,,,1
Nyarlathotep,"""Xardas""",,,,,,,3,,Dag'Kar,ALTE MINE Wächter der Feuersphäre,,,,,,,2
Druide,Druide nach Besiegung von Xardas und Betätigung des Schalters oben,,,,,,,3,,Shiva,ALTE MINE Spinne in einem der Äste am Grund der Mine,,,,,,,1
Beltessor,Sucher vor der Antwort auf die Fragen,,,,,,,1,,Giftkriecher,"ALTE MINE. Ganz unten, nahe der Sphäre",,,,,,,1
