"Aktualisierung des Verzeichnisses wird ab dem 28.12.2024 fortgesetzt

Bei Unstimmigkeiten oder Fragen, besucht gerne den Discord-Kanal #nb-dyskusja
Stay tuned ;)",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
GEGENSTÄNDE,,,,,,,,,SONSTIGES,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Gildenrüstungen,,,Gürtel Stärke,,,Helme Stärke,,,Nützliche Karten,,,,
,,,Gürtel Geschicklichkeit,,,Helme Geschicklichkeit,,,Pflanzen,,,,
Neutrale Rüstungen,,,Gürtel Mana,,,Helme Mana,,,Elixiere,,,,
,,,Neutrale Gürtel,,,Neutrale Helme,,,Tafeln,,,,
Degen ,,Speere,,Kordeläxte,,,Duale,,Dämonische Tafeln,,,,
Einhändige Waffen Stärke,,,Schilde,,,Zweihändige Waffen Stärke,,,Boss Verzeichnis,,,,
Bögen,,,Tragbare Trophäen,,,Armbrüste,,,Boni,,,,
Stäbe und magische Schwerter,,,,Schmuck,,,,,Erzvorkommen,,,,
FERTIGKEITEN,,,,,,,,,Ognik und seine Verbesserungen,,,,
,,,,,,,,,,,,,
,,,,,,,,,Cheat-Codes,,,,
,,,,,,,,,,,,,
Regeneration/Resistenzen/Sprachen/Magie/Kreise,,,,,,,,,Verbesserungen und Siegel,,,,"Besonderen Dank für die Zusammenarbeit bei der Erstellung des Arbeitsblatts an:
Flakes
Buzka555
Washion
Dawinio
Qlaczek
Licoya"
Schildführung,,,Diebstahl,,,Rhetorik,,,Teleporter,,,,
Statistiken lernen,,,Jagd,,,Waffenführung,,,Edelsteine,,,,
Schmiedekunst/Bergbau,,,Allgemeine Zauber,,,Alchemie,,,Wichtige Schriftrollen,,,,
,,,,,,,,,Gaben,,,,
HAUPTGILDEN,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Wassermagier,,,Feuermagier,,,Guru,,,Nekromant,,,,
Schwarzmagier,,,Dunkler Ritter,,,Beschwörer,,,Dämonenjäger,,,,
Tempelwächter,,,Söldner,,,Späher,,,Paladin,,,,
Verdammter,,,,,,,,,,,,,
NEBENKLASSEN / UNTERGILDEN,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Schamane,,,Druide,,,Giftmeister,,,,,,,
