"Lehrer für Grundattribute
(lohnt sich nur so viel zu lernen, um Ausrüstung anlegen zu können)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"Stärke (Immer 1 LP:1 Stärke)
[Max. Grenze: 1500]",,,,"Geschicklichkeit (Immer 1 LP:1 Geschick)
[Max. Grenze: 1500]",,,,"Mana (Immer 1 LP:2 Mana)
[Max. Grenze: 1500]",,,,Leben (1 LP:10 HP) (Nach Erlernen von 2000HP steigen Kosten auf 2 LP:10 HP) [Max. Grenze: 10.000],,,,,"Ausdauer
erste 20 Pkt 1LP : 1 Ausdauer
danach 2LP : 1 Ausdauer",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Beste Ausrüstung benötigt 600-650 Stärke,,,,Beste Ausrüstung benötigt 600-650 Geschick,,,,Beste Ausrüstung benötigt 1200 Mana,,,,"So viel wie möglich, HP sind nie zu viel",,,,,"Max. 20LP ausgeben, danach 2-3 Gaben",,,,,,
Lehrer [max],,Bedingung,,Lehrer [max],,Bedingung,,Lehrer [max],,Bedingung,,Lehrer [max],,Bedingung,,,Lehrer [max],,,Bedingung,,,
Harad [450],,Nur eigene Lehrlinge,,Ruga,,Nur Garde,,Gallahad,,Nach Wahl der Magieschulung,,Cavalorn,,---,,,Cavalorn [1000],,,---,,,
Brandon [450],,Trank für Brandon,,Brandon [450],,Trank für Brandon,,Parlan,,---,,Alrik,,Nach Sieg im Kampf,,,Wulfgar [1000],,,Alle außer Söldnern,,,
Lares [450],,---,,Lares [450],,---,,Vatras,,---,,Wulfgar,,Alle außer Söldnern,,,Cord [1000],,,---,,,
Mortis [450],,Nur Stadtwache,,Lucia [450],,---,,Albrecht  [750],,Nur Paladine,,Torlof,,Nur Söldner,,,Gor na Kosh [1000],,,Nur SŚ,,,
Carl [750],,Nach Bezahlung,,Cassia [1500],,Mitglied der Diebesgilde,,Baal Cadar,,Nur Gurus,,Gor na Kosh,,Nur SŚ,,,Haniar [1000],,,Während Masjafu-Quest,,,
Erol [1500],,Nach Täfelchen-Mission,,Nix [1500],,Mitglied des Jägerlagers,,Gor Na Toth,,Nur SŚ,,Ork-Schamanen,,Nur Schamanen,,,Viland [1000],,,Nur Dämonenjäger,,,
Torlof [1500],,Nur Söldner,,Torlof [750],,Nur Söldner,,Merdarion,,Nur Wassermagier,,Dunkler Mentor,,Nur Dunkle Ritter,,,Lares [1000],,,---,,,
Gor na Kosh,,Nur SŚ,,Gor na Kosh,,Nur SŚ,,Pyrokar,,Nur Feuermagier,,Lee,,Auf Irdorath,,,---,,,---,,,
Emnol [5000],,Im Tal der Schatten,,Noehfelden [5000],,Im Tal der Schatten,,Xardas,,Nur dunkle Magier,,Viland [1000],,Nur Dämonenjäger,,,---,,,---,,,
Ingmar [5000],,Nur Paladine,,Diego [5000],,---,,Kreol,,Nur dunkle Magier,,---,,---,,,---,,,---,,,
Viland,,Nur Dämonenjäger,,---,,---,,Viland,,Nur Dämonenjäger,,---,,---,,,---,,,---,,,
"Lehrer und Schwellenwerte für Waffenführung
(um 100% zu erreichen lernen wir bis etwa 70%, Rest durch Boni)",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Einhändige Waffen,,,,,,Zweihändige Waffen,,,,,Bogen,,,,,Armbrust,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
"1-30% 1LP:1%
31-45% 2LP:1%
46-60% 3LP:1%
61-90% 4LP:1%
91%-100% 5LP:1%",,,,,,"1-30% 1LP:1%
31-45% 2LP:1%
46-60% 3LP:1%
61-90% 4LP:1%
91%-100% 5LP:1%",,,,,"1-30% 1LP:1%
31-45% 2LP:1%
46-60% 3LP:1%
61-90% 4LP:1%
91%-100% 5LP:1%",,,,,"1-30% 1LP:1%
31-45% 2LP:1%
46-60% 3LP:1%
61-90% 4LP:1%
91%-100% 5LP:1%",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Lehrer [max],,,Bedingung,,,Lehrer [max],,Bedingung,,,Lehrer [max],,Bedingung,,,Lehrer [max],,,,Bedingung,,,
Cavalorn [60%],,,---,,,Wulfgar [50%],,Alle außer Söldnern,,,Cavalorn [90%],,---,,,Udar [90%],,,,Mit Keroloth sprechen,,,
Wulfgar [50%],,,Alle außer Söldnern,,,Falk [75%],,Mitglied des Jägerlagers,,,Niclas [60%],,---,,,Alrik [40%],,,,---,,,
