Gaben von Beliars und Innos' Schreinen,,,,
,,,,
,,,,
,,,,
Name,,,,Anforderungen
Magischer Schutzschild,,,,250 Karma + 300 Intelligenz + Magiergilde
Magische Macht +4,,,,200 Karma + 200 Intelligenz + Magiergilde
Schild: Ausdauerverbrauch beim Angreifen um 30% reduziert,,,,150 Karma + 45% 1h + 125 Stärke
Einhandwaffe: 25% Chance auf bis zu 150 zusätzlichen Schaden,,,,250 Karma + 75% 1h
"Zweihandwaffe: Schwerter, Äxte, Keulen - 100 zusätzlicher Schaden",,,,150 Karma + 50% 2h + 150 Stärke
Zweihandwaffe: zusätzlicher Schaden gleich 20% der Stärke/Geschicklichkeit,,,,250 Karma + 75% 2h
Gabe der zwei Klingen: 100 zusätzlicher Schaden beim Treffer,,,,250 Karma + 75% 1h oder 75% 2h
Gabe des Schützen: 20% schnelleres Spannen der Sehne,,,,250 Karma + 75% Bogen oder 75% Armbrust
Hand des Innos: Chance auf zusätzlichen Schaden gegen Untote im Nahkampf,,,,250 Karma + Paladin sein
Gabe des Geistes: Mana + 5,,,,"25 Karma, nur 3x erhältlich"
Gabe des Beschwörers: Limit der Beschwörungen + 1,,,,"125 Karma, einmalig, Schamane kann nicht"
Lernpunkte + 4,,,,"125 Karma, einmalig, nur Dunkler Ritter"
Gesundheit des dunklen Dieners + 500,,,,"50 Karma, einmalig, nur Dunkler Ritter"
Gesundheit des dunklen Dieners + 500,,,,"100 Karma, einmalig, nur Dunkler Ritter"
Geschwindigkeit des dunklen Dieners + 5%,,,,"100 Karma, einmalig, nur Dunkler Ritter"
Gesundheit des Helden + 50,,,,"50 Karma, einmalig, nur Dunkler Ritter"
Verstärkung des Hubaxis um 2%,,,,"50 Karma (Kosten steigen um 100 bei weiteren Verwendungen), nur Nekromant"
Verstärkung des Hubaxis um 15%,,,,"250 Gesundheit, nur Nekromant"
Magische Macht + 3,,,,"200 Karma, nur Nekromant"
Magische Macht + 5,,,,"250 Gesundheit, nur Nekromant"
Reduzierte benötigte Intelligenz zur Kontrolle von Kreaturen um 20%,,,,"500 Gesundheit, nur Schwarzmagier"
Fluchschaden um 10% erhöht,,,,"200 Karma, nur Schwarzmagier"
Folgende Gaben können maximal 16 Mal erhalten werden (separat bei Beliar und Innos). Die Kosten der Gaben steigen um 100 nach Erhalt. Ausdauer kann nur bis 950 Punkte erhalten werden.,,,,
Gabe der Stärke Stärke: + 5,,,,
Gabe der Geschicklichkeit Geschicklichkeit: + 5,,,,
Gabe der Gesundheit Gesundheit: + 50,,,,
Gabe der Intelligenz Intelligenz: + 10,,,,
Gabe der Ausdauer Ausdauer: + 50,,,,
