Allgemeine Informationen,,,,,,,,,,,,
"Der Giftmeister ist eine Unterklasse, die keine besonderen Privilegien hat, außer der Möglichkeit, spezielle Gifte zu erlernen, die wir auf Nahkampfwaffen auftragen können - nur auf Stärke- und Geschicklichkeitswaffen, die Schnittschaden verursachen.
Es wird empfohlen, Gifte in Kombination mit Speeren/Hellebarden/Einhandwaffen zu verwenden, da andere Waffen bereits ausreichend hohen Schaden haben, den man nicht durch das Trinken eines Tranks verringern sollte, oder sie haben schlechtere Animationen für das effektive Auftragen von Giften.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Allgemeine Beschreibung,,,,,,,,,,,,
"Zum Giftmeister werden wir beim Druiden Fregyals, der sich in einer Höhle im Wald hinter Onars Farm befindet (Wolf schickt uns dorthin mit einer Mission).
Um zu ihm zu gelangen, muss man sich an der ""Wand"" hinter dem Lager in der Nähe des Hirten Pepe halten und gehen, bis man auf den Druidenstein trifft.
Wir müssen für den Druiden eine Aufgabe erfüllen, die darin besteht, einen giftigen Schnapper zu töten. Dafür erhalten wir einen Trank, der nach dem Trinken
unseren Nahkampf- und Fernkampfschaden um 50% reduziert und uns auch Giftresistenz verleiht.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Weitere Hinweise,,,,,,,,,,,,
,,,,,,,,,,,,
"Gifte kann man nur bis zum Ende des 2. Kapitels erlernen. Weder Schamane noch Dunkler Ritter können sie erlernen.

Um Rezepte für spezielle Gifte lesen zu können, muss man zuerst lernen, sie zu verwenden
(Erlernen erst ab Stufe 3 der Giftherstellung möglich).

Gifte verwenden wir, indem wir sie im Inventar ""anklicken"", und in der oberen Ecke wird uns die Anzahl der Ladungen angezeigt, die wir
nach jedem Treffer gegen einen Feind verlieren.

Das Tragen von Muritans Fang erhöht den Giftschaden um 25%

Unsere Statistiken haben auch Einfluss auf den Giftschaden:
50 Ausdauer = +1 Schaden pro Tick
4% Waffenbeherrschung = +1 Schaden pro Tick
20 Stärke, Geschicklichkeit = +1 Schaden pro Tick
",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"Giftherstellung, Stufe 1",,,,,,,,,4LP,,,Worin zu Beginn investieren?
"Giftherstellung, Stufe 2 (15. Stufe)",,,,,,,,,6LP,,,"Immer nach dem Erreichen der nächsten Giftstufe sollte man so schnell wie möglich die Tick-Geschwindigkeit/Vergiftungschancen erlernen, da selbst die stärksten Gifte hinter den vorherigen zurückbleiben werden, wenn sie nicht oft genug zuschlagen.

Was die Charakterentwicklung angeht, sollte man sich vorrangig auf die Waffenbeherrschung konzentrieren, um schneller und häufiger Angriffe auszuführen und Gift-Stacks aufzubauen. Punkte rein in Statistiken zu investieren ist nicht so effektiv wegen der Strafe auf physischen Schaden, obwohl wir um Lernpunkte-Ausgaben nicht herumkommen, wenn wir die beste Ausrüstung tragen wollen."
