EISENVORKOMMEN,,,,,,GOLDVORKOMMEN
,,,,,,
KHORINIS,,,,,,KHORINIS
1.In der Höhle mit dem Banditen Brzytwa (hinter dem Wald bei der Jagd mit Bartok),,,,,,1-3. In der versteckten Mine bei der Höhle neben der Stadt
2.In der Höhle mit dem Oger im Tal rechts vom Osttor,,,,,,OSWALDS FARM
3.In der Höhle mit Banditen links vom Osttor,,,,,,"Im Durchgang zwischen der Farm und der Arena. Wir gehen dort mit Blizna hin"
4.In der Höhle mit dem Banditen Faarhart (Die von oben),,,,,,JARKENDAR
5.In der Höhle unter der Brücke auf dem Weg zu den Wassermagiern,,,,,,1-19. In der Mine bei den Banditen
6.In der Höhle mit Goblins für Greg,,,,,,MINE AM PASS
7. In der Höhle mit Hakons Banditen ,,,,,,1-17. Innerhalb der Mine
8.Im Nest der Feldbestien,,,,,,VERLASSENE MINE (GD)
9-12.In der Mine in Dexters Lager,,,,,,1-10. Linker Arm der Mine
13-16.In der Mine mit Untoten auf dem Weg zum Banditen Hannibal,,,,,,VORKOMMEN MAGISCHEN ERZES
17. In der versteckten Mine bei der Höhle neben der Stadt,,,,,,
18. In der neuen Höhle neben dem Nest der Feldbestien,,,,,,KHORINIS
19. Bei der Cavalorn neben Xardas' Turm,,,,,,1-3.In der Mine in Dexters Lager
WESTKÜSTE,,,,,,JARKENDAR
1. In der Höhle des Druiden Kormak,,,,,,1.Im Kanyon in der Höhle mit Francis' Schatz
MINENTAL,,,,,,2.Im Kanyon in der Höhle neben dem Durchgang zur Wüste Adanos
1.In der Mine die zu Kreol führt,,,,,,3. Im Vergessenen Kanyon neben der Königin der Kriecher
2.In der Höhle mit Spinnen am Weg zu den Sümpfen,,,,,,4. Im Vergessenen Kanyon in der großen Höhle
3.In der Höhle mit dem Goblin-Boss am Weg zu den Sümpfen,,,,,,WESTKÜSTE
4.Im linken Arm der Mine mit Grimes,,,,,,"1-2. In der Höhle mit der Königin der Kriecher, zu der wir mit den Piraten gehen"
5.In der Höhle mit Alephs Knochen neben Cavalorns Hütte,,,,,,MINENTAL
"6.In der Höhle mit Olavs Leiche, unweit von Hosh-Pak",,,,,,1-3. Mine mit Grimes
"7.In der Höhle mit Bullit, unter den Ork-Söldnern",,,,,,4-6. Im Kessel der Freien Mine
8.In der Höhle neben Angars Krypta,,,,,,7. Silvesters Mine
9.In der Höhle hinter der Brücke am Weg entlang der Palisade,,,,,,8-11. Fajeths Mine
10.In der Grube mit Spinnen bei der Alten Mine,,,,,,EISGEBIRGE DER ORKS
"11.In der Höhle mit dem Oger zwischen Angars Krypta und dem Eis-Biom",,,,,,1-10. Mine am Eingang
"12-13.In der Mine zwischen dem Meer und der Alten Mine",,,,,,ORKMINE
14.In der Höhle mit dem Kräuterpaket vor dem Eingang zum Eis-Biom,,,,,,1-9 Untere Ebene der Mine
15.Im Kessel der Freien Mine,,,,,,ALTE MINE
16. In Fajeths Mine,,,,,,1-25 Endsaal der Mine
17. Neben Marcos,,,,,,26-28 Unten in der Mitte der Mine
18. Vor dem Tor der Alten Mine,,,,,,29-41 Schacht der Mine und obere Arme
19. Im Endsaal der Alten Mine,,,,,,
20. Im unteren Arm mit Kriechern in der Alten Mine,,,,,,
21-24 Im Schacht der Mine/bei den Gerüsten,,,,,,
ORKMINE,,,,,,
1-28. Obere Ebene der Mine,,,,,,
WALD DER ASSASSINEN,,,,,,
1-2. Höhle vor dem Eingang zur Mine,,,,,,
3-6. Linker Arm vor dem Ausgang aus der Mine zum Wald,,,,,,
