Name,Anforderungen,Andere Statistiken,Reichweite,Schaden,Durchschlag,Bedingungen für Erhalt
DEGEN,,,,,,
Abgenutzte Klinge,keine Anforderungen,---,70,10,-,Liegt neben Cavalorn
Verrostete Klinge,Geschicklichkeit: 5,---,80,10,-,Liegt auf der Holzkiste bei Cavalorns Banditen
Degen,Geschicklichkeit: 15,---,80,30,-,Fällt von NPCs in Khorinis die damit kämpfen
Banditenschwert,Geschicklichkeit: 20,---,80,30,-,Fällt von Banditen in Khorinis
Rapier,Geschicklichkeit: 20,---,80,35,-,Verkauft Ramirez
Schurkenklinge, Geschicklichkeit: 40,Bonus auf Waffenführung: 2%,80,60,0.05,Schema lehrt Ramirez
Diebesrapier, Geschicklichkeit: 80,Bonus auf Waffenführung: 2%,90,100,0.1,Schema lehrt Ramirez
Jacks Silberschwert, Geschicklichkeit: 105,"Bonus auf Waffenführung: 3%
Effektiv gegen Untote und Geister",110,115,-,"Abschluss der Quest ""Verfluchte Laterne"" "
Meisterschwert, Geschicklichkeit: 110,Bonus auf Waffenführung: 3%,100,130,0.15,Schema lehrt Ramirez
Stiller Tod, Geschicklichkeit: 150,Bonus auf Waffenführung: 3%,105,165,0.2,Schema fällt von Franko
Stahlnadel, Geschicklichkeit: 185,Bonus auf Waffenführung: 4%,110,200,0.3,"Schema gibt Falk für ""Jagd auf seltsame Kreaturen"""
Skorpionstachel, Geschicklichkeit: 220,Bonus auf Waffenführung: 4%,120,240,0.4,Schema besitzt Anführer der Schnappkieferrudel
Schrei der Nacht, Geschicklichkeit: 250,Bonus auf Waffenführung: 5%,120,270,0.45,Schema gibt Raff für das Töten des Geisterschattenwesens
Silberstern,Geschicklichkeit: 280,Effektiv gegen Geister und Skelette,120,300,0.3,Fällt vom Erzdämon-Boss im alten Bruderschaftslager in GD
Langer Rapier, Geschicklichkeit: 375 Ausdauer: 600,---,125,300,-,Fällt von Loker in der Arena
Goldene Nadel, Geschicklichkeit: 375 Ausdauer: 500,Bonus auf Waffenführung: 5%,125,380,0.5,"Schema ist in Händchens Truhe in GD (Quest ""Schwert des Erzmeisters"", 
250 Geschicklichkeit und Taschendiebstahl für die Herstellung)"
Blutsauger,Geschicklichkeit: 400 Ausdauer: 650,Lebensraub: 20,125,410,0.55,Fällt von Tiamant im Assassinenwald
Blutfresser,Geschicklichkeit: 430 Ausdauer: 750,Lebensraub: 25,125,430,0.65,Fällt von Gor Bob im Tempel des Träumenden
Beliars Klaue,Geschicklichkeit: 400 Ausdauer: 600,Bonus auf Waffenführung: 5%,120,420,0.6,Kruk besiegen und Klaue im Schrein übernehmen
Beliars Klaue (mit Seele),Geschicklichkeit: 500 Ausdauer: 800,"Bonus auf Waffenführung: 5%
 Lebensraub: 25 
Zusätzlicher Schaden: 125",125,465,0.7,Senyaks Seele in die Klaue einsetzen
SPEERE,,,,,,
Spitzer Stock,Geschicklichkeit: 10,---,105,10,-,"Vor Xardas' Turm, links, beim Baum"
Übungsspeer,Geschicklichkeit: 10,---,120,30,-,Kauf bei Hakon
Falks,Geschicklichkeit: 40,---,120,50,-,In der Scheune auf Lobarts Farm
Stahlspeer,Geschicklichkeit: 80 Ausdauer: 150,---,130,110,0.05,Im Turm mit Joe
Söldnerspeer,Geschicklichkeit: 110 Ausdauer: 200 ,---,135,130,0.1,Höhle mit Oger neben Ginnoks Grab
Geschmiedeter Stahlspeer,Geschicklichkeit: 130 Ausdauer: 250,---,140,150,0.15,Höhle mit Bandit Faarhart
Rademes' Speer,Geschicklichkeit: 160 Ausdauer: 300,---,140,190,0.25,Dämon Keyron vor Kruk
Silbermond,Geschicklichkeit:160 Ausdauer: 350,Effektiv gegen Untote und Geister,145,160,0.2,Truhe im rechten Seitengang des Adanos-Tempels vor Kruk
Runenzahn,Geschicklichkeit: 190 Ausdauer: 350,---,140,220,0.3,Auf dem Tisch in Kreols Gästezimmer
Banditenspeer,Geschicklichkeit: 220 Ausdauer: 400,---,145,240,0.35,"Bandit ""Dicker"" in GD"
Gazkuls Speer,Geschicklichkeit: 260 Ausdauer: 450,---,150,260,0.4,Goblin Gazkul in der Adanos-Wüste
Speer des wahnsinnigen Sold.,Geschicklichkeit: 300 Ausdauer: 500,---,150,300,0.5,Wahnsinniger Soldat am Pass in 3R
Alptraum der Untoten,Geschicklichkeit: 320 Ausdauer: 500,Effektiv gegen Untote und Geister,145,320,0.45,In der Pyramide nach Abschluss der Adanos-Wüsten-Quests
