Allgemeine Informationen,,,,,,,,,,,,Essenz,,"Grundstatistiken
sowie INT-Einfluss",,,Stufe
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Der Nekromant spezialisiert sich sowohl auf offensive Zauber als auch auf das Beschwören mächtiger Dämonen.
Er hat auch Zugang zu einer speziellen Fähigkeit, die es ihm erlaubt, Zauber auf Kosten seines Lebens zu wirken, wenn ihm das Mana ausgeht

Unsere Zauber haben eine 25%ige Chance, zusätzliche 65% Schaden zu verursachen. Diese Chance steigt um 1% für jeden 1% Magische Macht.
Zusätzlich zur Schadensverstärkung haben wir auch eine Chance, den Gegner zu lähmen.",,,,,,,,,,,,"keine Essenz
verfügbar sofort nach dem Erlernen der Grunddämonologie und der Dämonenbeschwörungsrune",,"SCHWACHER DÄMON
LP: 1600 (1 INT = 1 LP) 100%
STÄRKE: 225 (4 INT = 1 STÄRKE) 25%
GESCHICKLICHKEIT: 200
WIDERSTAND: 125/190/125/100/100
(keine Widerstandsskalierung)",,,0
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Schwache Dämonenessenz
Gewöhnlicher Dämon
(z.B. aus Xardas' Aufgabe in der Höhle mit dem Gespenst nahe Orlans Taverne)",,"STARKER DÄMON
LP: 2000 (1 INT = 1 LP) 100%
STÄRKE: 250 (3 INT = 1 STÄRKE) 33%
GESCHICKLICHKEIT: 225
WIDERSTAND: 170/205/175/125/125
(keine Widerstandsskalierung)",,,1
Besessenheit,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
"Die Zauber des Nekromanten haben eine Chance, den Feind zu besetzen. Wenn unser Zauber erhöhten Schaden verursacht, haben wir eine 20%ige (oder 10%ige für Flächenzauber) Chance, dass unser Feind für 3 Sekunden die Kontrolle über sich verliert und nicht angreifen kann.
[FUNKTIONIERT BEI BOSSEN]",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,"Dämonenessenz
Keyron
im Adanos-Tempel in Jharkendar oder vom fünften getöteten Dämon",,"HÖHERER DÄMON
LP: 2000 (1 INT = 2 LP) 200%
STÄRKE: 275 (2 INT = 1 STÄRKE) 50%
GESCHICKLICHKEIT: 250
WIDERSTAND: 200/230/220/150/150
(keine Widerstandsskalierung)",,,2
Begleiter Hubaxis,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
