"RHETORIK, SORTIERT NACH SPIELFORTSCHRITT",,,,,,,,,
,,,,,,,,,
"Dialoge
(funktioniert teilweise nur beim ersten Gespräch)",,,,,,,,,Pulte und Bücher
,,,,,,,,,
Jesse von unserem Betrug im Minental erzählen.,,,,,,,,,"""Höhere Runen"" Auf dem Runentisch in Xardas' Turm"
"Jesse nach Dexters Namen fragen, wenn wir keine einzige Münze haben.",,,,,,,,,3 Pulte von 7 in Xardas' Turm - 3 Rhetorik
Sich für die Bauern während des ersten Gesprächs mit Lobart aussprechen.,,,,,,,,,
In die Stadt über Lesters Weg gelangen. (10 Pflanzen und sich als Gesandter bei Constantino ausgeben),,,,,,,,,
Ragnar auf dem Galgenplatz zwei Biere geben,,,,,,,,,Pult auf Lobarts Farm / im Mörderhaus im Hafen neben Jack / in der Wohnung bei Vatras
"Zu Moe sagen: ""Also hier versammelt sich die ganze Gesellschaft""",,,,,,,,,Pult in Thorbens Haus
Gritty erpressen und Matteos Gold von ihr erhalten,,,,,,,,,Pult in Matteos Laden
Jory nach Alriks Schwert fragen, nachdem wir Jory sein Geld zurückgegeben haben,,,,,,,,,
"Zu Daron sagen: ""Ich bin ein armer Schlucker"" nach dem Gespräch über das Kloster
(Wir müssen weniger als 10 Gold im Inventar haben)",,,,,,,,,"""Myrtanische Poesie"" Bei Matteo für 100 Gold kaufbar"
Hälftige Teilung im Dialog mit Nagur in der Hafenkneipe fordern.,,,,,,,,,"""Grundlagen der Rhetorik"" während der Quest ""Gallahads Auftrag"" - 5 Rhetorik"
"Beim Treffen mit Asmal, bei Gallahads Quest diese Optionen wählen:
 Nun ja… Ich → Bitte, nimm diesen Brief und den Beutel → Deine Drohungen beeindrucken mich nicht → dumm oder nicht, kämpfen wir",,,,,,,,,"Pult in Salandrilos Haus
 (Kann beim Eingang nach 22 Uhr vom Balkon gelesen werden)"
"5 Münzen als Preis für Informationen von Kardif heraushandeln
(Das ist zu viel --> Ich brauche deine Informationen nicht)",,,,,,,,,"Pult in Luteros Haus 
(Kann beim Eingang nach 22 Uhr vom Balkon gelesen werden)"
Martin um Hilfe mit Coragons Kunden bitten,,,,,,,,,Pult in der Kirche im Kloster.
,,,,,,,,,Buch neben Talamon im Klosterkeller
Den Eingang zur Oberstadt freischalten,,,,,,,,,Pult über die Feuerprobe in der Magier-Bibliothek lesen
"Parlan überzeugen, dass wir nicht wissen, woher wir kommen
(Benötigt 10 Rhetorik)",,,,,,,,,"Buch ""Drachenhauch"" aus der Kloster-Schatzkammer lesen
(Achtung: Schlüssel ist in der Truhe in der rechten Magier-Kammer) (Achtung: Benötigt 350+LP)"
"Saturas überzeugen, dass ihr Plan sowieso nicht funktioniert hätte.
(Benötigt 15 Rhetorik)",,,,,,,,,Pult über die Feuermagier-Expedition in Talamons Raum lesen
Halvor die Notiz von den Banditen bei Akils Farm geben,,,,,,,,,"Xardas' Aufzeichnungen aus der Quest ""Feuermagier-Expedition"" lesen
Nach dem Lesen des vorherigen Pults zu Pyrokar und Xardas gehen"
"Till überzeugen, uns 100 Gold dafür zu zahlen, dass wir Bronko zur Arbeit antreiben",,,,,,,,,Vatras' Tagebuch lesen
"Von Cassia erfahren, wer Vatras' Tagebuch gestohlen hat
(Benötigt 15 Rhetorik)",,,,,,,,,"Buch von Lothar für die Quest ""Horror auf dem Friedhof"" lesen"
"Vatras' Tagebuch kostenlos von Ramirez heraushandeln
(Benötigt 20 Rhetorik) (Achtung: NUR WENN WIR ATTILA NICHT GETÖTET HABEN)",,,,,,,,,"Buch ""Blutsauger"", das wir für das Zurückbringen von Dragomirs Armbrust erhalten"
Die Brüder auf Akils Farm gegeneinander aufhetzen,,,,,,,,,"Buch ""Arcanum Golum"" lesen, das auf dem Tisch neben der Truhe in Fernandos Haus liegt"
Larius 4 Empfehlungsschreiben für Galahad geben,,,,,,,,,"Buch ""Wahre Macht"" bei Isgaroth kaufen und lesen"
Rumbold fragen, wie viel Gold er für das Verschonen Bengars will (Benötigt 20 Rhetorik),,,,,,,,,"Buch ""Göttliche Macht der Sterne"" bei Constantino/Zuris für 400 Gold kaufen und lesen"
"Bengar überzeugen, die Schafe des Hirten von Sekobs Farm weiden zu lassen
(Achtung: Die Quest mit den Wachen, die Bengar belästigen, muss abgeschlossen sein)",,,,,,,,,"Buch ""Weinrezepte I"" bei Constantino für 2500 Gold kaufen und lesen"
"Von Gorax einen Weinpreis unter 50 Gold heraushandeln [Mit 50 Rhetorik ohne Handeln möglich]
(5% erhöhen, 10% senken, bei schlechter Laune mehrmals erhöhen)",,,,,,,,,"Buch ""Weinrezepte II"" bei Salandrilo für 2000 Gold kaufen und lesen"
"Samuel überzeugen, uns das Rezept für den Schnellen Hering zu geben
(Benötigt 40 Rhetorik)",,,,,,,,,"Buch ""Antike Astronomie"" bei Salandrilo für 3000 Gold kaufen und lesen"
"Greg überzeugen, den Preis für Lieferungen an die Wassermagier zu senken
(Benötigt 40 Rhetorik)",,,,,,,,,"Buch ""Geheimnisse der Magie"" - verkauft Galahad, liegt im verschlossenen Raum neben Babo im Kloster"
"Silver überzeugen, uns eine höhere Belohnung für die Strandreinigung zu zahlen
(Benötigt 40 Rhetorik)",,,,,,,,,"Buch ""Geheimnisse der Alchemie"" bei Salandrilo für 1000 Gold kaufen und lesen"
"Bartholomäus überzeugen, uns für das Bringen von Lous Hammer zu bezahlen
(Benötigt 40 Rhetorik)",,,,,,,,,"Buch ""Jagd und Wild"" bei Bosper für 1000 Gold kaufen und lesen"
"Pyrokar überzeugen, für die Piraten zu beten, nachdem wir Kapitän Drake getötet haben
(Benötigt 50 Rhetorik)",,,,,,,,,"Buch ""Weisheit der Götter"" bei Isgaroth für 3000 Gold kaufen und lesen"
"Crimson überzeugen, 10 Goldstücke für einen Goldklumpen zu zahlen
(Benötigt 40 Rhetorik)",,,,,,,,,Pult beim Druiden Fregyar lesen
"Den Paladin am Schiff überzeugen, uns hineinzulassen
(Verfügbar für: Feuermagier / Wassermagier / Dunkle Magier)",,,,,,,,,"Buch ""Krankheitssymptome"" bei Baal Tyon für 500 Gold kaufen und lesen
(nur Bruderschaftsmitglied)"
"Kirzharst 3 Eisenbarren statt 3 Erzklumpen geben
(Achtung: Nur während der Quest ""Grenzenlose Macht"")",,,,,,,,,5 Pulte in der Gelehrten-Bibliothek lesen - 5 Rhetorik
"Den Geist in der Verfluchten Laterne überzeugen, Jack nicht zu töten
(Benötigt 40 Rhetorik)",,,,,,,,,Antike Baumeister-Aufzeichnungen aus der Bibliothek lesen
Die richtigen Dialogoptionen während der Quest mit Loa wählen,,,,,,,,,3 Pulte im Ashtar-Tal lesen - 3 Rhetorik
Nigel überzeugen, uns für seine Lebensrettung zu bezahlen,,,,,,,,,3 Pulte in der Großen Pyramide in der Adanos-Wüste lesen - 3 Rhetorik
Krötechsenfett für Vins Brennerei (70 Gold) von Ehnim heraushandeln, nachdem wir die Brüder auf Akils Farm gegeneinander aufgehetzt haben.,,,,,,,,,Pult in Xardas' Altem Turm lesen
"Kreol überzeugen, unser Leben zu verschonen (Benötigt 40 Rhetorik)
(Achtung: Dialog erscheint nur, wenn wir die Erzmagier-Quest nicht haben) (Nicht der Rede wert)",,,,,,,,,"Pult in Kreols Turm lesen
(Achtung: Das Pult hat 5 Seiten, also erhalten wir ganze 5 Rhetorik-Punkte!)"
