Handwerksschmuck,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Handwerksschmuck ist eine besondere Art von Schmuck, deren Geheimnisse uns Matteo nach Abschluss der Aufgabe bezüglich der verlorenen Werkzeuge lehrt.
Es ist ein Schlüsselelement der Ausrüstung, da es in vielen Fällen die beste Wahl für die jeweilige Spielphase darstellt.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Die Fähigkeit zur Schmuckherstellung erfordert die Aufgabe „Matteos Werkzeuge", die man während eines Gesprächs mit ihm erhalten kann.
Die für die Produktion benötigten Werkzeuge finden wir auf der Diebsinsel in einer verschlossenen Truhe.
Den Schlüssel erhalten wir von Hanna nach Abschluss der Aufgabe im Zusammenhang mit Abigails Halskette.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Schmuck stellen wir mit Hilfe einer Ringform an einem speziellen Tisch bei Matteo her.
Das Erlernen der Schmuckherstellung hat kapitelweise Beschränkungen und man muss die vorherige Stufe lernen, um die nächste lernen zu können.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Schmuckstufe,,,Rubin,,,Smaragd,,,Diamant,,,,Opal,,,,Saphir,
,,,,,,,,,,,,,,,,,,
"Stahl
2. Kapitel
8 LP",,,Rubinring aus Stahl,,,Smaragdring aus Stahl,,,Diamantring aus Stahl,,,,Opalring aus Stahl,,,,Saphirring aus Stahl,
,,,,,,,,,,,,,,,,,,
,,,"Stärke: 10
Schutz vor Hiebschäden: 5",,,"Geschicklichkeit: 10
Schutz vor Wuchtschäden: 5
Schutz vor Stichschäden: 5",,,Schutz vor jeder Art von Schäden: 10,,,,"Gesundheit: 25
Schutz vor Feuer: 5
Schutz vor Sturz: 2",,,,"Mana: 15
Intelligenz: 10
Schutz vor Magie: 5",
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,Stahlamulett des Kriegers,,,Stahlamulett des Schurken,,,Nicht vorhanden,,,,,,,,Stahlamulett des Magiers,
