ALLGEMEINE INFORMATIONEN,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Späher basieren auf Geschicklichkeit. Um beizutreten, muss man die Aufgabe von Gunnar beginnen und den Brief an Lord Andre überbringen.
Uns wird ein völlig neuer Aufgabenpfad angeboten, eine zusätzliche Lokation und für andere nicht verfügbare Methoden zur Bekämpfung von Gegnern.",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
DETAILLIERTE INFORMATIONEN,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
"Die Gilde besitzt die besten Rüstungen für Geschicklichkeit, die Möglichkeit zusätzliche Helme für Geschicklichkeit zu erhalten,
sowie meuchlerische Fähigkeiten wie z.B. Unsichtbarkeit oder besseres Schleichen.

Der Späher kann spezielle Sprengladungen verwenden, die seine Feinde entzünden, betäuben, wegschleudern und verletzen können.
Außerdem haben wir geringere Kosten beim Erlernen von geschicklichkeitsbezogenen Fertigkeiten (z.B. Schleichen, Akrobatik).
Man kann Giftmeister werden.",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Fertigkeiten des Spähers,,,,,,,,,,,,,Gildenkopfbedeckungen
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Name,,,Beschreibung,,,,,Anforderungen,,,,LP,1. Nach dem Späher werden
,,,,,,,,,,,,,
Schlösser öffnen,,,Schlösser mit Geschicklichkeit öffnen,,,,,keine,,,,5,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Ausweichen +2%,,,"Zusätzliche Chance auf Ausweichen
stapelt sich mit anderen Chancen
Insgesamt +5%",,,,,keine,,,,3,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Ausweichen +3%,,,,,,,,"Geschicklichkeit: 125
Ausweichen +2%",,,,4,
,,,,,,,,,,,,,
,,,,,,,,,,,,,2. Nach Eintritt in Kapitel 2
