"Wichtige Information! Denke daran, dass Ognik die Standorte von Tafeln und Pflanzen anzeigen kann, 
 wenn wir eine spezielle Fähigkeit im Dialog mit ihm kaufen (10.000 Goldstücke).
Die Fähigkeit ist auch kostenlos verfügbar nach dem Besiegen des Bosses Ahiron in Khorinis

Klicken auf die Beschreibung des Pflanzenstandorts führt dich zum
 Screenshot des Ortes sowie zur Karte (erfordert Update)",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
KHORINIS / WALD DER ASSASSINEN,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Kriegertafel (Stärke),,,,Jägertafel (Geschicklichkeit),,,,Priestertafel (Mana),,,,Heilertafel (HP)
,,,,,,,,,,,,
"Auf der Lichtung, neben der Lichtung mit dem Troll, hinter Niclas",,,,Im Zelt bei den Ausgrabungen der Wassermagier,,,,Verkauft Lehmar,,,,Auf dem Steinpfeiler neben dem Teleport zur Feurigen Stätte bei den Ausgrabungen
,,,,,,,,,,,,
Auf der Insel mit dem Sumpfhai Erol,,,,Beim Baum in den Bergen über Xardas' Turm,,,,Verkauft Lutero (3. Kapitel),,,,Neben dem Goblin Schlächter
,,,,,,,,,,,,
"Hinter einem der Bäume zwischen Sekobs Farm und Sagittas Höhle",,,,Auf dem Felsvorsprung mit dem dunklen Beißer über Isgaroths Kapelle,,,,"2X Quest ""Vermisste Leute"" (Nur Wassermagier)",,,,Auf dem Felsvorsprung über dem Eingang zur Höhle der Feuerprobe
,,,,,,,,,,,,
Auf der Insel zwischen zwei Wasserfällen beim Pass,,,,Auf dem Hügel mit dunklen Beißern gegenüber dem Eingang zu den Ausgrabungen,,,,Liegt auf dem Regal im Seitenraum im Wald der Assassinen,,,,Hinter Gor Hanis' Zelt über dem dunklen Wald
,,,,,,,,,,,,
In der Höhle mit Teleport neben Khorinis,,,,Beim Baumstumpf neben dem Eingang zum Wald der Assassinen,,,,Hinter dem Steinpfeiler neben dem inaktiven Teleport bei den Ausgrabungen der Wassermagier,,,,Hinter dem linken Pfeiler im Raum mit Goblins bei den Ausgrabungen
,,,,,,,,,,,,
Verkauft Lutero,,,,Auf dem Fass auf der Spitze von Jacks Leuchtturm,,,,Verkauft Lutero (2. Kapitel),,,,Auf dem Dach der kleinen Pyramide bei den Ausgrabungen
,,,,,,,,,,,,
Auf dem Regal in Osairas Höhle im Wald der Assassinen,,,,Hinter dem Eingang zu den Katakomben der Wassermagier-Ausgrabungen,,,,Verkauft Allen (Nur Späher) (4. Kapitel),,,,Auf dem Alchemietisch vor dem Portal bei den Ausgrabungen
,,,,,,,,,,,,
An dem Ort, zu dem er uns im Geheimraum im Wald der Assassinen teleportiert,,,,Im Raum mit Nrozas im Wald der Assassinen,,,,"Hinter der uralten Kriecher-Königin
Ort: Westküste",,,,Beim Baum an der Wand neben dem Sonnenkreis
,,,,,,,,,,,,
Liegt im finalen Raum des Waldes der Assassinen,,,,In Osairas Höhle im Wald der Assassinen,,,,Verkauft Lehmar,,,,"Über der Klippe neben dem Schwarzen Troll, beim Wasserfall"
,,,,,,,,,,,,
Auf dem Tisch im Tempel im Wald der Assassinen,,,,Am Grund der Mine im Wald der Assassinen,,,,Verkauft Isgaroth,,,,"Hinter dem Baumstumpf, neben dem Schattenläufer, im Tal rechts vom Osttor von Khorinis"
,,,,,,,,,,,,
-,,,,-,,,,-,,,,In der kleinen Pyramide neben der Lichtung mit wütenden Trollen
,,,,,,,,,,,,
Schwertkämpfertafel (1H),,,,Speerkämpfertafel (2H),,,,Bogenschützentafel (Bogen),,,,Armbrustschützentafel (Armbrust)
,,,,,,,,,,,,
Neben dem Teleport in den Katakomben der Wassermagier-Ausgrabungen *,,,,Im Zelt der Banditen Fernando *,,,,In der Truhe im Banditenturm neben Dexter *,,,,Hinter dem Baum neben dem Pass unter Dexters Lager *
,,,,,,,,,,,,
,,,,Hinter dem Klostergebäude *,,,,,,,,An der Wand auf dem Weg zum Jägerlager von Busters Hütte *
,,,,,,,,,,,,
Weisheitstafel (Intelligenz),,,,,,Botentafel (Ausdauer),,,,,Alte Steintafel (+1 Mana),
,,,,,,,,,,,,
,,,,,,,,,,,,
fehlt,,,,,,Verkauft Lutero,,,,,Beim Baum auf den Felsen über Xardas' Turm,
,,,,,,,,,,,,
,,,,,,Beim Druiden Freygal auf dem Tisch,,,,,"Auf der Lichtung mit Blutsaugern, über der Insel hinter dem Fluss, auf dem Weg zu den Ausgrabungen",
,,,,,,,,,,,,
"In der abgebrannten Hütte, zwischen Sagittas Höhle und Orlans Gasthaus",,,,,,In den Leichen der Banditen neben Akils Farm (3 STÜCK),,,,,Im Wagen neben Hannibals Banditen,
,,,,,,,,,,,,
Bei der Palisade links vom Eingang zum Bruderschaftslager,,,,,,Auf der Lichtung über Akils Farm,,,,,"Im Wagen zwischen Erols Hütte und dem Jägerlager",
,,,,,,,,,,,,
In der Höhle mit Schattenläufern unter der Brücke zu den Ausgrabungen,,,,,,Auf den Felsen um den See neben Erols Hütte,,,,,In Ahirons Turm in der zerstörten Tonne,
,,,,,,,,,,,,
OSWALDS FARM,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Kriegertafel (Stärke),,,,Jägertafel (Geschicklichkeit),,,,Priestertafel (Mana),,,,Heilertafel (HP)
,,,,,,,,,,,,
Hinter dem Lager des Boss-Schattenläufers,,,,Im Magierturm im Wald nahe dem Boss-Schattenläufer,,,,In der Taverne auf der Farm,,,,Hinter der Farm nahe der verschlossenen Tür zur Arena
,,,,,,,,,,,,
Schwertkämpfertafel (1H),,,,Speerkämpfertafel (2H),,,,Bogenschützentafel (Bogen),,,,Armbrustschützentafel (Armbrust)
,,,,,,,,,,,,
Neben dem schwarzen Troll,,,,Auf der Anhöhe mit Goblins nahe dem Friedhof,,,,Im Wald, der Teil der Arena ist, im Tal mit Maulwurfsratten,,,,"Nahe dem Boss-Keiler im Wald nahe dem Boss-Schattenläufer, bei den Jägerleichen"
,,,,,,,,,,,,
Weisheitstafel (Intelligenz),,,,,,Botentafel (Ausdauer),,,,,Alte Steintafel (+1 Mana),
,,,,,,,,,,,,
,,,,,,,,,,,,
"In der Arena, nahe dem Teleportstein",,,,,,"Hinter der Arena, wir gehen dort mit Blizna hin, um gegen Trigo zu konspirieren",,,,,fehlt,
,,,,,,,,,,,,
FORT AZGAN,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Kriegertafel (Stärke),,,,Jägertafel (Geschicklichkeit),,,,Priestertafel (Mana),,,,Heilertafel (HP)
,,,,,,,,,,,,
Neben dem Lagerverwalter im Fort,,,,"Im Paladinfort, in einem der Gebäude",,,,Hinter dem Felsen am Strand mit Rączka,,,,In der Truhe auf dem Berg mit Goblins in Fort Azgan
,,,,,,,,,,,,
Im Turm beim Tor,,,,Auf der Lichtung mit Aasfressern rechts vom Ausgang des Forts,,,,Am Strand an der Wand von der Waldseite neben dem Sumpfhai,,,,Auf dem Hügel mit Blutsaugern in Fort Azgan
,,,,,,,,,,,,
In der Truhe im Paladindepot,,,,In der Truhe in der Höhle mit Goblins,,,,Neben dem Schattenläufer,,,,
,,,,,,,,,,,,
Auf der Lichtung mit dem Troll am Berghang in Fort Azgan,,,,Auf dem Hügel mit Blutsaugern in Fort Azgan,,,,Über der Klippe hinunter links beim Verlassen des Forts,,,,
,,,,,,,,,,,,
Schwertkämpfertafel (1H),,,,Speerkämpfertafel (2H),,,,Bogenschützentafel (Bogen),,,,Armbrustschützentafel (Armbrust)
,,,,,,,,,,,,
fehlt,,,,In der Truhe im Paladindepot,,,,fehlt,,,,In der Truhe im Paladindepot
,,,,,,,,,,,,
Weisheitstafel (Intelligenz),,,,,,Botentafel (Ausdauer),,,,,Alte Steintafel (+1 Mana),
,,,,,,,,,,,,
,,,,,,,,,,,,
In der Truhe im Paladindepot,,,,,,fehlt,,,,,fehlt,
,,,,,,,,,,,,
JARKENDAR,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Kriegertafel (Stärke),,,,Jägertafel (Geschicklichkeit),,,,Priestertafel (Mana),,,,Heilertafel (HP)
,,,,,,,,,,,,
Über der Schlucht nahe dem Eremiten,,,,Neben dem Boss der Warge in der Schlucht,,,,Hinter einem der steinernen Wächter im Tempel des Adanos,,,,"Zwischen dem Ausgang des Gebäudes mit Portal und dem Magiergebäude links bei den Ausgrabungen"
,,,,,,,,,,,,
In der Mine rechts in der Schlucht,,,,Links vom Eingang zur Mine neben dem Teleport zur Wüste Adanos,,,,An dem Ort, wo der Dämon Keyron steht,,,,Hinter der Kriecher-Königin in der Vergessenen Schlucht
,,,,,,,,,,,,
