Allgemeine Informationen,,,,,,,,,
"Der Tempelwächter ist eine Hauptgilde, der wir im Lager der Bruderschaft nahe Bengars Farm beitreten.
Der Beitritt zeichnet sich durch die schwierigsten Aufgaben unter allen anderen Gilden aus.

Der Tempelwächter erhält passive HP-Regeneration von 1/Sek, die sich um 1 für jede besessenen 1000 HP erhöht, sowie Ausdauer-Regeneration von 1/Sek.
Er besitzt eigene Gildenwaffen, die HP hinzufügen, jedoch sind dies nur zweihändige Waffen für Stärke, aber die Gilde selbst eignet sich für den Gebrauch jeder Nahkampfwaffe im Spiel. Er nutzt sowohl Heilrunen (die besten im Spiel) als auch offensive Runen (mit denen man sogar das Spiel durchspielen kann).

Er ist eine der besseren Wahlen für Armbrustschützen (jedoch nicht so gut wie der Dämonenjäger), da er Joints besitzt, die die Zeit verlangsamen, und einen Gildenlehrer hat, der so hohe Schwellenwerte in Kapitel 2 lehrt. Das Spielen als Bogenschütze ist ebenfalls empfehlenswert.

Er kann Schamane werden, aber das schwächt seine Runen, auch die heilenden. Er kann auch als Giftmeister gespielt werden (nur wenn wir mit Nahkampfwaffen spielen wollen), Druide wird abgeraten (es gibt bessere Wahlen).",,,,,,,,,
Boni von Joints,,,,,,,,,
Der Tempelwächter erhält spezielle Boni vom Rauchen von Joints:,,,,,,,,,
Joint des Sumpfkrauts,,,30s,Leichte Zeitverlangsamung (20%),,,,,Kann jeder
Grüner Novize,,,10m,"Physische Widerstände +5, Leichte Zeitverlangsamung",,,,,Rezept bei Fortuno
Dunkelheit des Nordens,,,10m,"HP-Reg. 5/Sek, Phys. Widerstand +10, Mittlere Zeitverlangsamung",,,,,Rezept in Caloms Hütte in GD
Ruf der Nacht,,,10m,"HP-Reg. 5/Sek, Phys. Widerstand +15, Starke Zeitverlangsamung",,,,,Rezept in Caloms Hütte in GD
Bitterer Traum,,,10m,"HP-Reg. 5/Sek, Phys. Widerstand +20, Starke Zeitverlangsamung und Charakterbeschleunigung",,,,,1. Calom 2. Sumpfdrache 3. Talas
Präsentation der Runen [VIDEO],,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"Der Tempelwächter hat seine speziellen Runen, die er einmal pro Kapitel erhält. Jede Stufe beider Pfade kostet 5 LP.
Die Runen lehrt uns einer der Wächter in der Bruderschaft. Wir können nur 1 Rune der vierten Stufe wählen.
Die Schadensskalierung mit Intelligenz beträgt 100%, also 1 Int = 1 Schaden",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Heilrunen,,,,,,"Angriffsrunen
(Schaden angegeben mit INT = 0 | Magische Macht = 1%)",,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
GILDENRÜSTUNGEN,,,,,,,,,
,,,,,,,,,
Name,,,Anforderungen,,Hieb/Stumpf/Stich/Magie/Feuer,,,Zusätzlich,Bedingung für Erhalt
Kampfbinde des Tempelwächters,,,Ausdauer 150,,45/25/5/5/10,,,HP 50,Erhalten nach Beitritt zum TW
Speerrüstung,,,Geschick 180,,115/100/130/35/20,,,Ausweichen 15%,Verkauft Gor Na Kosh
Umgeschmiedete Speerrüstung,,,Geschick 180,,140/120/150/55/30,,,Ausweichen 15%,Umschmieden der Speerrüstung
Schwere Speerrüstung,,,"Geschick 300
Ausdauer 600",,150/150/130/50/60,,,Ausweichen 15%,Verkauft Gor Na Kosh (3. oder 4. Kapitel)
Umgeschmiedete schwere Speerrüstung,,,"Geschick 330
Ausdauer 600",,180/160/200/60/80,,,Ausweichen 15%,Umschmieden der schweren Speerrüstung
Leichter Panzer des Tempelwächters,,,Ausdauer 200,,75/55/30/15/10,,,HP 100,Verkauft Gor Na Kosh
Umgeschmiedeter leichter Panzer des TW,,,Ausdauer 250,,100/80/55/30/20,,,HP 100,"Umschmieden des leichten Panzers
des Tempelwächters"
Panzer des Tempelwächters,,,"Stärke 120
Ausdauer 350",,110/90/70/40/30,,,HP 200,Verkauft Gor Na Kosh (Nach Herbeiführung von Fortuno oder Angar)
Schwerer Panzer des Tempelwächters,,,"Stärke 160
Ausdauer 500",,150/150/140/60/50,,,HP 200,Verkauft Gor Na Kosh (4. Kapitel nach Herbeiführung von Fortuno und Angar)
Umgeschmiedeter Panzer des TW,,,"Stärke 150
Ausdauer 450",,160/170/140/60/40,,,HP 300,Umschmieden des Panzers des Tempelwächters
Umgeschmiedeter schwerer P. des TW,,,"Stärke 225
Ausdauer 500",,230/220/210/75/75,,,HP 400,Umschmieden des schweren Panzers des Tempelwächters
GILDENWAFFEN,,,,,,,,,
,,,,,,,,,
Name,Stärke,Schaden,Reichweite,Typ,Andere Statistiken,,,,Bedingungen für Erhalt
Hand des Wächters,100,140,140,Schwert 2H,Bonus zu HP 75,,,,Verkauft Gor Na Kosh
Klinge des Gleichgewichts,150,200,150,Schwert 2H,Bonus zu HP 100,,,,Verkauft Gor Na Kosh
Wächter des Glaubens,220,270,150,Schwert 2H,"Bonus zu HP 150, Rüstungsdurchdringung 10%",,,,Verkauft Gor Na Kosh (2K)
Eifer des Fanatikers,300,340,150,Schwert 2H,"Bonus zu HP 200, Rüstungsdurchdringung 20%",,,,Verkauft Gor Na Kosh (3K)
Fang des Träumenden,350,400,160,Schwert 2H,"Bonus zu HP 300, Rüstungsdurchdringung 30%",,,,Fällt von Tirax im Alten Lager der Bruderschaft in GD wenn wir TW sind
