,Allgemeine Informationen,,,,,,,,,,
,"Gilde nur verfügbar nach Installation des Plugins ""AB_PathOfDamned_Mod"", welches auf der Sefaris-Disc zu finden ist

Um der Gilde beizutreten, muss man mit Remus in der Toten Harpie sprechen. Nach dem Beitritt wählt man eine von drei Unterklassen: Krieger, Magier oder Faustkämpfer.

Die Gilde bietet mächtige Boni wie Lebensraub, Runen ""Sicht in der Dunkelheit"", Flächenangriffe und einzigartige Fähigkeiten je nach Unterklasse.

Zusätzlich verstärkt das Trinken von 50 Fläschchen Menschenblut den Charakter um +1 Stärke und Geschicklichkeit sowie +2 Mana.

Vom Beliar-Schrein kann man die spezielle Gabe ""Verfluchte Bluteigenschaften"" erhalten (200 Karma):
Tierblut - für 10 Minuten +10% Blutfluss
Menschenblut - für 10 Minuten +10% Schaden gegen Menschen
Orkblut - für 10 Minuten +20 Geschicklichkeit/Stärke

Die Gilde bringt jedoch Einschränkungen mit sich: verringerte Schäden am Tag um 15% (von 05:00 bis 20:00), doppelte Feuerempfindlichkeit, Heiltränke und Manatränke sind um 50% schwächer, kein Zugang zur Lichtmagie und Verbot des Gebets zu Innos, kann kein Weihwasser trinken und keine Silberwaffen verwenden. Einige Fähigkeiten funktionieren nicht bei Verwendung von Bögen, Armbrüsten und Schilden. Kann nicht Schamane/Druide/Giftmeister werden.

Kosten der Fähigkeiten im Schwierigkeitsmodus betragen 70% der LP",,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
