INFORMACJE OGÓLNE,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Gildia główna wprowadzona w aktualizacji 25.06.2022
Charakteryzuje się ona korzystaniem z kuszy, a także specjalnymi umiejętnościami z nią związanymi.
Aby zostać jej członkiem, należy wykonać zadania dla Angela, paladyna stojącego w porcie przy statku.
Swoją siedzibę ma on w opuszczonej posiadłości w lasach za farmą Onara (dopiero po wykonaniu questa).
Gildia posiada aż 12 unikalnych zadań, które z pewnością wyjaśnią pojawienie się ich na wyspie.

Gildia docelowo opiera się głównie na sile i walce na dystans, aczkolwiek walka wręcz nie ma żadnych kar, więc również jest grywalna. 
Łowca demonów nie może zostać szamanem, a mistrz trucizn spowoduje jedynie zmniejszenie obrażeń jeśli gramy z kuszą. 
Druid do tej klasy nie jest polecany z racji braku sensownych korzyści (Po prostu są lepsze wybory)",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
DZIENNA WYPŁATA,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
"Łowca Demonów w trakcie całej gry po dołączeniu otrzymuje wypłatę (kumulującą się do 7 dni), której kwotę może zwiększać wykonując zadania gildyjne, otrzymując awans, a także zabijając bossy demonów, co jest rozpisane niżej",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
POLOWANIE NA DEMONY,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Łowca demonów ma możliwość relacjonowania zabitych bossów demonów w zamian za nagrody i podwyżkę,,,,,,,,,,
,,,,,,,,,,
Nazwa bossa,,Lokalizacja,,Nagroda,,,,,,Podwyżka
,,,,,,,,,,
Dramtar,,Koszmar Kruka,,"2000 szt. złota, 2000 XP",,,,,,15/dzień
,,,,,,,,,,
Dusza S'enyaka,,Uwolnienie duszy,,"1000 szt. złota, 1000 XP",,,,,,15/dzień
,,,,,,,,,,
S'enyak,,"Zadanie ""Artefakty Starożytności""",,"2000 szt. złota, 2000 XP, eliksir życia",,,,,,20/dzień
,,,,,,,,,,
Kra'Tuk,,"Sale Wakhana
7 rozdział",,"3000 szt. złota, 3000 XP",,,,,,50/dzień
,,,,,,,,,,
Bar'Trok,,"Rytuał Wody
7 rozdział",,"2000 szt. złota, 2000 XP",,,,,,20/dzień
,,,,,,,,,,
Mor'Bar,,Obóz Bractwa w GD,,"1200 szt. złota, 1200 XP, 1 PN",,,,,,20/dzień
,,,,,,,,,,
Irh'Tar,,Kopalnia orków,,"1500 szt. złota, 1500 XP, eliksir życia",,,,,,20/dzień
,,,,,,,,,,
Nebiros,,Leże Masjafu,,"1200 szt. złota, 1000 XP, deszcz ognia",,,,,,20/dzień
,,,,,,,,,,
Shemron,,Zatopiona wieża Xardasa,,"1500 szt. złota, 1000 XP, fala lodu",,,,,,20/dzień
,,,,,,,,,,
Zipperiusz,,Zabicie 20 królików,,200 XP,,,,,,Brak
,,,,,,,,,,
Teamruk,,Kamienna Forteca w GD,,"500 szt. złota, 500 XP, mała burza ognista",,,,,,10/dzień
,,,,,,,,,,
Keyron,,Świątynia Adanosa,,"500 szt. złota, 500 XP, 3 eliksiry many",,,,,,10/dzień
,,,,,,,,,,
Lucian,,Kotlina Lestera,,"350 szt. złota, 350 XP,  3 eliksiry zdrowia",,,,,,10/dzień
,,,,,,,,,,
UMIEJĘTNOŚCI SPECJALNE,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Nazwa,,Poziom,Koszt,Wymagania,,Opis umiejętności,,,,
,,,,,,,,,,
Anatomia nieumarłych,,X,"2 PN
500 monet",Brak,,"Dwukrotnie zwiększa ilość pospolitych składników (kości, martwa tkanka, ektoplazma) wypadających z nieumarłych przeciwników",,,,
,,,,,,,,,,
,,,,,,,,,,
Wiedza o żywiołach,,X,"8 PN
2000 monet",Poziom: 35,,Zmniejsza obrażenia otrzymywane wskutek magii i ognia o 10%,,,,
,,,,,,,,,,
,,,,,,,,,,
Ciężki bełt,,X,"10 PN
2500 monet",tworzenie bełtów,,Umożliwia tworzenie bełtów zadających obrażenia obuchowe,,,,
,,,,,,,,,,
,,,,,,,,,,
Magiczny bełt,,X,"10 PN
2500 monet",tworzenie bełtów,,Umożliwia tworzenie bełtów zamrażających,,,,
,,,,,,,,,,
,,,,,,,,,,
Wybuchowy bełt,,X,"10 PN
2500 monet",tworzenie bełtów,,Umożliwia tworzenie bełtów zadających obrażenia obszarowe,,,,
,,,,,,,,,,
,,,,,,,,,,
Przeszywający bełt,,X,"5 PN
1500 monet",tworzenie bełtów,,Umożliwia tworzenie bełtów ignorujących odporności fizyczne celu,,,,
,,,,,,,,,,
,,,,,,,,,,
Ostry bełt,,X,"5 PN
1500 monet",tworzenie bełtów,,Umożliwia tworzenie bełtów zadających dodatkowe obrażenia od krwawienia,,,,
,,,,,,,,,,
,,,,,,,,,,
Zaawansowane kusznictwo,,X,"7 PN
1200 monet",Poziom: 15,,Zwiększa obrażenie zadawane z kuszy,,,,
,,,,,,,,,,
,,,,,,,,,,
Duchowa tarcza,,1,"3 PN
750 monet",Brak,,"Bohater otrzymuje tarcze absorbującą obrażenia, która samoistnie się odnawia i wynosi: 50+20% inteligencji",,,,
,,,,,,,,,,
,,2,"4 PN
900 monet",Poziom: 15,,"Bohater otrzymuje tarcze absorbującą obrażenia, która samoistnie się odnawia i wynosi: 100+20% inteligencji",,,,
,,,,,,,,,,
,,3,"5 PN
1200 monet","Poziom: 25
Rozdział: 2",,"Bohater otrzymuje tarcze absorbującą obrażenia, która samoistnie się odnawia i wynosi: 160+20% inteligencji",,,,
,,,,,,,,,,
,,4,"6 PN
1500 monet","Poziom: 35
Rozdział: 2",,"Bohater otrzymuje tarcze absorbującą obrażenia, która samoistnie się odnawia i wynosi: 225+20% inteligencji",,,,
,,,,,,,,,,
,,5,"7 PN
2000 monet","Poziom: 45
Rozdział: 3",,"Bohater otrzymuje tarcze absorbującą obrażenia, która samoistnie się odnawia i wynosi: 300+20% inteligencji",,,,
,,,,,,,,,,
Podwójny strzał,,1,"10 PN
1000 monet",20% władania kuszą,,Pozwala wystrzelić dwa bełty przy jednym przeładowaniu,,,,
,,,,,,,,,,
,,2,"8 PN
1500 monet",Poziom: 20,,Zmniejsza cooldown pomiędzy wystrzelonymi bełtami podczas podwójnego strzału,,,,
,,,,,,,,,,
,,3,"7 PN
2000 monet","Poziom: 30
Rozdział: 2",,Zmniejsza cooldown pomiędzy wystrzelonymi bełtami podczas podwójnego strzału,,,,
,,,,,,,,,,
,,4,"7 PN
2500 monet","Poziom: 40
Rozdział: 2",,Zmniejsza cooldown pomiędzy wystrzelonymi bełtami podczas podwójnego strzału,,,,
,,,,,,,,,,
,,5,"8 PN
4500 monet","Poziom: 50
Rozdział: 3",,Zmniejsza cooldown pomiędzy wystrzelonymi bełtami podczas podwójnego strzału,,,,
,,,,,,,,,,
PANCERZE GILDYJNE,,,,,,,,,,
,,,,,,,,,,
Nazwa,,,Wymagania,Cięte/obuchowe/kłute/magia/ogień,,,Dodatkowe,Warunek zdobycia,,
Pancerz rekruta zakonu,,,Siła 15 Waga 1,50/50/50/15/15,,,"HP 15
upadek 1",Po dołączeniu do zakonu łowców demonów,,
